#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:20:57 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07035800 St. Francis River near Mill Creek, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07035800	1	1987-02-05		Yes	A/G	USGS	2.34	242				Fair	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		242				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	2	1987-03-11		Yes	LJL	USGS	2.44	335				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	335	110	184	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	3	1987-04-14		Yes	LJL	USGS	5.74	2210				Good	0.04	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2210	232	1430	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	4	1987-05-18		Yes	JGS	USGS	1.17	43.6				Fair	0.00	1.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	43.6	34.0	47.8	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	5	1987-06-30		Yes	JS	USGS	0.95	21.4				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.4	31.0	29.2	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	6	1987-08-12		Yes	LJL	USGS	0.90	24.3				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	24.3	40.0	29.2	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	7	1987-09-23 10:25:00	CDT	Yes	LJL	USGS	0.69	8.48				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.48	40.0	21.7	0.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	8	1987-11-02 13:25:00	CST	Yes	LJL	USGS	0.91	18.2				Fair	0.00	0.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.2	42.0	30.3	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	9	1987-12-16 14:40:00	CST	Yes	LJL	USGS	5.05	1690				Good	-0.03	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1690	230	1260	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	10	1988-01-26 11:30:00	CST	Yes	LJL	USGS	2.87	448				Good	-0.01	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	448	221	650	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	11	1988-03-09 07:00:00	CST	Yes	SK	USGS	3.34	645				Poor	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	645	226	858	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	12	1988-04-12 12:15:00	CDT	Yes	LJL	USGS	2.54	391				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	391	126	194	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	13	1988-05-23 14:30:00	CDT	Yes	SCK	USGS	1.53	90.2				Fair	0.02	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	90.2	44.0	61.6	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07035800	14	1988-07-06 12:05:00	CDT	Yes	LJL	USGS	0.79	14.2				Fair	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.2	40.0	27.1	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
