#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:21:03 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07039500 St. Francis River at Wappapello, MO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07039500	60	1941-01-31		Yes	chj	USGS	5.91	1820				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1820	154	2760	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	61	1941-02-13		Yes	memphis	USGS	-0.70	595				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	595	141	1830	0.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	65	1941-02-14		Yes	memphis	USGS	-2.70	310				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	310	81.0	482	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	62	1941-02-20		Yes	memphis	USGS	-0.89	644				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	644	140	1790	0.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	66	1941-02-21		Yes	memphis	USGS	-2.80	284				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	284	81.0	471	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	63	1941-02-28		Yes	memphis	USGS	-1.90	399				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	399	137	1630	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	64	1941-03-08		Yes	memphis	USGS	-2.45	338				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	338	82.0	495	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	67	1941-04-07		Yes	memphis	USGS	-1.18	552				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	552	92.0	597	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	68	1941-04-11		Yes	memphis	USGS	-4.75	54.0				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	54.0	69.0	332	0.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	69	1941-04-18		Yes	memphis	USGS	-4.80	46.0				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	46.0	69.0	332	0.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	70	1941-04-18		Yes	memphis	USGS	-4.75	56.0				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	56.0	69.0	334	0.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	71	1941-04-21		Yes	memphis	USGS	-3.38	245				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	245	76.0	430	0.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	72	1941-04-30		Yes	schwob	USGS	-0.75	520				Poor			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	520	135	1790	0.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	73	1941-05-22		Yes	memphis	USGS	-1.42	476				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	476	91.0	574	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	74	1941-06-18		Yes	chj	USGS	-3.36	223				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	223	122	233	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	75	1941-06-20		Yes	memphis	USGS	-3.41	237				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	237	76.0	422	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	76	1941-07-24		Yes	chj	USGS	-4.56	83.6				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	83.6	51.0	66.9	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	77	1941-07-25		Yes	chj	USGS	-4.38	101				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	101	53.5	75.6	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	78	1941-07-29		Yes	memphis	USGS	-4.48	114				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	114	71.0	347	0.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	79	1941-08-25		Yes	memphis	USGS	-4.36	99.0				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	99.0	72.0	358	0.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	80	1941-09-04		Yes	ear	USGS	-4.35	107				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	107	101	81.1	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	84	1941-09-24		Yes	schwob	USGS	-4.42	96.1				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	96.1	55.0	85.1	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	81	1941-09-24		Yes	schwob	USGS	-4.38	96.2				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	96.2	54.0	84.0	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	83	1941-09-24		Yes	schwob	USGS	-4.41	96.7				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	96.7	55.0	85.4	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	82	1941-09-24		Yes	schwob	USGS	-4.39	98.9				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	98.9	55.0	85.9	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	85	1941-10-17		Yes	eep	USGS	0.82	933				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	933	140	676	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	86	1941-10-19		Yes	eep	USGS	6.99	2330				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2330	165	1650	1.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	87	1941-10-21		Yes	eep	USGS	9.97	2910				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2910	178	2120	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	88	1941-10-22		Yes	gpb	USGS	9.08	2220				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2220	173	1990	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	89	1941-10-23		Yes	chj	USGS	8.18	2320				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2320	170	1810	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	90	1941-11-01		Yes	gpb	USGS	12.67	3850				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3850	191	2680	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	92	1941-11-02		Yes	chj	USGS	19.53	6910				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6910	189	5180	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	91	1941-11-02		Yes	chj	USGS	19.21	7040				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7040	216	4010	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	94	1941-11-03		Yes	gpb	USGS	17.51	5180				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5180	208	3620	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	93	1941-11-03		Yes	gpb	USGS	17.55	6110				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6110	222	4820	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	95	1941-11-06		Yes	gpb	USGS	17.08	4950				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4950	209	3550	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	96	1941-11-13		Yes	eep	USGS	9.35	2360				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2360	174	2010	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	97	1941-11-18		Yes	cje	USGS	4.38	1440				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1440	190	1940	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	98	1941-12-05		Yes	ees	USGS	1.80	952				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	952	177	1460	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	99	1941-12-27		Yes	geb	USGS	7.24	2100				Unspecified			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2100	165	1670	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	100	1942-01-09		Yes	perry	USGS	3.70	1290				Excellent			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1290	151	1080	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	101	1942-01-14		Yes	chj	USGS	1.36	913				Fair			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	913	141	708	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	102	1942-02-05		Yes	perry	USGS	15.02	4480				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4480	197	3060	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	103	1942-02-11		Yes	perry	USGS	12.94	3770				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3770	188	2640	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	104	1942-02-27		Yes	chj	USGS	14.78	5010				Good			Clear	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5010	175	4350	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	105	1942-03-19		Yes	perry	USGS	12.02	3560				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3560	185	2470	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	106	1942-03-26		Yes	perry	USGS	5.66	1810				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1810	149	1370	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07039500	107	1942-04-10		Yes	perry	USGS	18.31	6680				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6680	212	3750	1.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
