#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:21:19 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02232400 ST. JOHNS RIVER NEAR COCOA, FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02232400	1	1954-07-08 09:35:00	EDT	Yes	REC	USGS	14.26	2090				Fair	0.01	3.20		UNSP	1	Imported Channel 1	BOAT	unspe	unkno	2090	410	2580	0.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02232400	2	1956-01-31 09:20:00	EST	Yes	REC	USGS	11.41	305				Fair	0.01	2.00		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	305	294	1740	0.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02232400	3	1956-03-13 08:40:00	EST	Yes	REC	USGS	10.14	174				Poor	0.01	1.30		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	174	290	1410	0.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02232400	4	1956-04-24 07:50:00	EST	Yes	REC	USGS	9.13	93.3				Poor	0.01	1.60		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	93.3	278	1110	0.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02232400	5	1956-10-09 09:45:00	EDT	Yes	AID	USGS	13.25	1260				Fair	0.03	1.80		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	1260	314	2320	0.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02232400	6	1956-10-18 12:00:00	EDT	Yes	EWM	USGS	15.83	6330				Fair	0.01	1.10		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	6330	285	2940	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02232400	7	1956-10-23 11:00:00	EDT	Yes	AID/DLR	USGS	16.41	8380				Fair	-0.03	1.20		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	8380	346	3640	0.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02232400	8	1957-05-15 10:15:00	EDT	Yes	WA	USGS	12.15	592				Fair	0.01	1.30		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	592	308	1930	0.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02232400	9	1959-02-11 14:20:00	EST	Yes	REC	USGS	12.40	725				Fair	0.00	1.80		UNSP	1	Imported Channel 1	CRAN	unspe	unkno	725	273	2280	0.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
