#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:21:23 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02234440 ST. JOHNS RIVER AT STATE HWY 415 NEAR SANFORD, FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02234440	1	1943-05-06		Yes	CCY	USGS	0.16	729				Fair	-0.03	1.20	DebrisHeavy	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	729	245	2150	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	2	1966-04-27		Yes	WMW	USGS	1.30	2390				Good	0.00	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2390	275	2830	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	3	2005-02-10 09:58:00	EST	Yes	REJ/PJH	USGS	2.20	1060				Good	-0.01	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1060	271	3330	0.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	4	2005-04-06 13:00:00	EST	Yes	REJ/PJH	USGS	2.10	3200				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3200		3390	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	5	2005-06-08 11:25:00	EST	Yes	REJ/PJH	USGS	1.80	2080				Good	-0.01	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	2080	286	3230	0.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	6	2005-07-27 11:21:00	EST	Yes	REJ/PJH	USGS	4.19	5790				Good	0.01	0.60	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5790	297	3920	1.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	7	2005-09-15 12:55:00	EST	Yes	REJ/MJO	USGS	3.87	3900				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3900	296	3860	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	8	2005-11-04 14:12:00	EST	Yes	REJ/JDY	USGS	5.93	9130				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	9130	294	4300	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	9	2006-01-11 13:30:00	EST	Yes	REJ/MSP	USGS	2.85	3550				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3550	295	3530	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	10	2006-03-01 13:17:00	EST	Yes	REJ/JDY	USGS	1.28	876				Good	0.01	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	876	277	3110	0.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	11	2006-04-26 13:32:00	EST	Yes	REJ/JDY	USGS	0.43	175				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	175	303	2880	0.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	12	2006-06-21 13:34:00	EST	Yes	REJ/MSP	USGS	0.41	114				Poor	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	114	282	2880	0.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	13	2006-06-21 13:45:00	EST	Yes	REJ/MSP	USGS	0.41	175				Fair	-0.01	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	175	282	2880	0.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	14	2006-08-23 11:15:00	EST	Yes	REJ/MAB	USGS	0.56	747				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	747	277	2920	0.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	15	2006-10-12 12:04:00	EST	Yes	REJ/WLW	USGS	2.00	1980				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1980	289	3300	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	16	2006-12-06 14:54:00	EST	Yes	REJ/ALB	USGS	1.08	1040				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1040	275	3060	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02234440	17	2007-02-08 11:47:00	EST	Yes	REJ/RAC	USGS	0.99	1200				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1200	275	3030	0.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
