#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:21:31 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02244040 ST. JOHNS R AT BUFFALO BLUFF NEAR SATSUMA, FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02244040	1C	1935-10-15		Yes	ELH	USGS	1.98	20400				Unspecified				UNSP	1	Imported Channel 1	CRAN	unspe	unkno	20400	1000	14200	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02244040	1D	1935-10-15		Yes	ELH	USGS	2.03	17800				Unspecified				UNSP	1	Imported Channel 1	CRAN	unspe	unkno	17800		14000	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02244040	1B	1935-10-15		Yes	HAT	USGS	2.12	19500				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		19500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02244040	1A	1936-10-15		Yes	ELH	USGS	2.58	5610				Unspecified				UNSP	1	Imported Channel 1	CRAN	unspe	unkno	5610	1000	14900	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02244040	1	1992-07-16 09:34:00	EDT	Yes	JVS/EPS	USGS		8510				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	8510				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02244040	2	1992-07-16 09:45:00	EDT	Yes	JVS/EPS	USGS		9150				Good			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		9150				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02244040	3	1992-07-16 09:50:00	EDT	Yes	JVS/EPS	USGS		9770				Good			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		9770				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02244040	4	1992-07-16 09:57:00	EDT	Yes	JVS/EPS	USGS		9270				Good			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		9270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02244040	5	1992-07-16 10:06:00	EDT	Yes	JVS/EPS	USGS		10700				Good			Unspecifed	UNSP	1	Imported Channel 1	UNSP	other		10700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
