#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:22:54 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 15291700 SUSITNA R AB TSUSENA C NR CHULITNA AK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	15291700	1	2012-02-16 13:22:00	AKST	Yes	CSC/JRM	USGS		1470	 1.0			POOR			CICE	UNSP	1		ICE	QSCMM		1480	312	540	2.73	FIRM	BLDR	UNEV	PULS	UNEV	NSTD	UPST	30.00
USGS	15291700	2	2012-04-10 13:21:00	AKDT	Yes	CSC/JRM	USGS		1090	 1.0			POOR			CICE	UNSP	1		ICE	QSCMM	VPAA	1090	366	422	2.59	FIRM	BLDR	UNEV	PULS	UNEV	NSTD	UPST	75.00
USGS	15291700	3	2012-05-10 13:13:00	AKDT	Yes	JRM/MWS	USGS	28.61	9130	 1.0	0.30	1.0	FAIR			CLER	UNSP	1		MBOT	QADCP	VADCP	9130	403	1760	5.18	FIRM	BLDR	UNEV	PULS	UNEV	NSTD	ATGA	
USGS	15291700	4	2012-06-03 09:45:00	AKDT	Yes	JRM/MRC	USGS	30.34	13700	 1.0	-0.25	-0.7	FAIR	0.00	0.20	CLER	UNSP	1		MBOT	QADCP	VADCP	13700	420	2260	6.07	FIRM	CBLS	UNEV	PULS	EVEN	STND	DNST	50.00
USGS	15291700	5	2012-07-02 15:55:00	AKDT	Yes	CSC/JRM	USGS	31.45	20600	 1.0	0.00	-4.6	FAIR			CLER	UNSP	1		MBOT	QADCP	VADCP	20600	463	2940	7.01	FIRM	CBLS	UNEV	PULS	EVEN	STND	ATGA	0.00
USGS	15291700	6	2012-08-06 15:21:00	AKDT	Yes	JRM/EMP	USGS	30.30	16000	 1.0	0.00	8.1	FAIR	-0.05	0.50	CLER	UNSP	1		MBOT	QADCP	VADCP	16000	437	2580	6.20	FIRM	CBLS	UNEV	PULS	EVEN	STND	UPST	50.00
USGS	15291700	7	2012-09-13 19:21:00	AKDT	Yes	JRM/MRC	USGS	28.66	7650	 1.0	0.00	-7.0	FAIR	0.00	0.20	CLER	UNSP	1		MBOT	QADCP	VADCP	7650	430	1700	4.50	FIRM	CBLS	EVEN	STDY	EVEN	STND	DNST	100.00
USGS	15291700	8	2012-10-11 17:55:30	AKDT	Yes	CSC/MPC	USGS	29.70	12600	 1.0	0.00	5.0	FAIR			CLER	MEAS	1	Susitna R ab Tsusena Cr	MBOT	QADCP	VADCP	12600	436	2280	5.53	UNSP	UNSP	UNSP	UNSP	EVEN	UNSP	DNST	100.00
USGS	15291700	9	2013-01-22 14:11:30	AKST	Yes	CSC/EMP	USGS		1580	 1.0			POOR			CICE	MEAS	1	Susitna R ab Tsusena Cr nr Chulitna	ICE	QSCMM	VIPAA	1580	320	396	3.99	FIRM	CBLS	EVEN	PULS	UNEV	NSTD	UPST	100.00
