#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:22:56 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 15292100 SUSITNA R NR TALKEETNA AK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	15292100	1	1982-06-22 18:10:00	AKDT	Yes	SWL/R S	USGS		37300		0.00		FAIR			CLER	MEAS	1	Unspecified	BOAT	QUNSP		37300	645	4860	7.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292100	2	1982-06-30		Yes	R S	USGS		29900		0.00		GOOD			CLER	MEAS	1	Unspecified	BOAT	QUNSP		29900	623	4240	7.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292100	3	1982-07-08 10:28:00	AKDT	Yes	R S/SWL	USGS	92.37	19400		0.00		FAIR			CLER	MEAS	1	Unspecified	BOAT	QUNSP		19400	596	3260	5.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292100	4	1982-07-14 10:40:00	AKDT	Yes	SWL/R S	USGS	94.00	28900		0.00		FAIR			CLER	MEAS	1	Unspecified	BOAT	QUNSP		28900	622	4020	7.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292100	5	1982-07-21 11:10:00	AKDT	Yes	R S/J K	USGS		24600		0.00		FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		24600	603	3690	6.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292100	6	1982-08-04		Yes	R S/J K	USGS		20600		0.00		UNSP			CLER	MEAS	1	Unspecified	BOAT	QUNSP		20600	604	3470	5.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292100	7	1982-08-10		Yes	R S/SWL	USGS		19800		0.00		FAIR			CLER	MEAS	1	Unspecified	BOAT	QUNSP		19800	596	3200	6.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292100	8	1983-06-02 10:00:00	AKDT	Yes	SWL	USGS		31600		0.00		GOOD			CLER	MEAS	1	Unspecified	BOAT	QUNSP		31600	646	4420	7.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292100	9	1983-07-07 09:30:00	AKDT	Yes	SWL/S G	USGS	93.70	26600		0.00		UNSP			CLER	MEAS	1	Unspecified	BOAT	QUNSP		26600	600	3770	7.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
