#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:22:59 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 15292780 SUSITNA R AT SUNSHINE AK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	15292780	1	1981-03-25 09:00:00	AKST	Yes	GLP/JDM	USGS		3800		0.00		POOR			CICE	MEAS	1	Unspecified	ICE	QSCMM		3800			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	2	1981-05-28 12:30:00	AKDT	Yes	GLP/JDM	USGS	7.44	41500		0.00		FAIR	0.03	1.00	CLER	MEAS	1	Unspecified	BOAT	QUNSP		41500	975	6640	6.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	3	1981-06-25 11:15:00	AKDT	Yes	GLP/LAW	USGS	8.58	55000		0.00		FAIR	0.01	1.25	CLER	MEAS	1	Unspecified	BOAT	QUNSP		55000	1020	8370	6.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	4	1981-07-23 09:20:00	AKDT	Yes	GLP/JDM	USGS	11.87	86300		0.00		GOOD	0.01	1.25	CLER	MEAS	1	Unspecified	BOAT	QUNSP		86300	1000	11500	7.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	5	1981-08-28 14:20:00	AKDT	Yes	GLP/SWL	USGS	9.60	62400		0.00		GOOD	-0.01		CLER	MEAS	1	Unspecified	BOAT	QUNSP		62400	975	9530	6.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	6	1981-09-29 14:20:00	AKDT	Yes	GLP/SWL	USGS		19100		0.00		GOOD			CLER	MEAS	1	Unspecified	BOAT	QUNSP		19100	600	4510	4.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	7	1981-10-19		Yes	GLP/DK	USGS	3.85	0.000	 4.0	0.00		GOOD	0.00	1.00		UNSP	1	Unspecified	BOAT	QUNSP		0.000	575	4160	3.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	8	1982-01-20 14:50:00	AKST	Yes	GLP/DRK	USGS		3500		0.00		POOR			CICE	MEAS	1	Unspecified	ICE	QSCMM		3500	350	1350	2.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	9	1982-03-02 16:00:00	AKST	Yes	GLP/DRK	USGS		2660		0.00		POOR			CICE	MEAS	1	Unspecified	ICE	QSCMM		2660	260	1120	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	10	1982-04-09 12:05:00	AKST	Yes	GLP/PDA	USGS		3350		0.00		POOR			CICE	MEAS	1	Unspecified	ICE	QSCMM		3350	220	1180	2.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	11	1982-06-03 11:55:00	AKDT	Yes	GLP/JDM	USGS	10.61	75500		0.00		GOOD	-0.10	1.17	LGDB	MEAS	1	Unspecified	BOAT	QUNSP		75500	1020	11000	6.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	12	1982-07-02 13:30:00	AKDT	Yes	GLP/BBB	USGS	9.13	57100		0.00		GOOD	-0.08	1.60	CLER	MEAS	1	Unspecified	BOAT	QUNSP		57100	1010	8700	6.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	15292780	13	1982-08-17 09:55:00	AKDT	Yes	GLP/BBB	USGS	7.86	47500		0.00		FAIR			CLER	MEAS	1	Unspecified	BOAT	QUNSP		47500	1010	7700	6.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
