#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:23:04 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01500500 SUSQUEHANNA RIVER AT UNADILLA NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01500500	1	1938-06-25		Yes	X	USGS	2.61	315				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	315	149	503	0.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	2	1938-07-21		Yes	X	USGS	2.56	274				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	274	152	528	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	3	1938-08-11		Yes	X	USGS	6.78	4240				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4240	210	1360	3.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	4	1938-08-16		Yes	X	USGS	3.03	435				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	435	171	592	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	5	1938-09-22		Yes	GS	USGS	13.67	20600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		20600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	6	1938-10-28		Yes	X	USGS	3.45	854				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	854	173	659	1.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	7	1938-11-25		Yes	X	USGS	4.39	1570				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1570	180	850	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	8	1938-12-19		Yes	X	USGS	5.20	2590				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2590	198	1020	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	9	1938-12-30		Yes	X	USGS	3.68	1020				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1020	169	693	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	10	1939-02-19		Yes	X	USGS	5.83	3330				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3330	200	1120	2.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	11	1939-03-07		Yes	X	USGS	6.73	4800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4800	196	1310	3.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	12	1939-03-30		Yes	X	USGS	7.03	5120				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5120	207	1330	3.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	13	1939-04-14		Yes	X	USGS	6.05	3670				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3670	200	1150	3.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	14	1939-05-04		Yes	X	USGS	4.05	1300				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1300	179	767	1.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	15	1939-05-22		Yes	X	USGS	3.28	721				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	721	160	671	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	16	1939-06-12		Yes	X	USGS	2.32	218				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	218	175	190	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	17	1939-07-13		Yes	X	USGS	2.22	177				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	177	90.0	89.0	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	18	1939-07-14		Yes	X	USGS	2.02	136				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	136	91.0	92.8	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	19	1939-08-05		Yes	X	USGS	2.02	128				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	128	85.0	87.6	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	21	1939-08-25		Yes	X	USGS	1.87	89.4				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	89.4	75.0	74.1	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	20	1939-08-25		Yes	X	USGS	1.88	90.6				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	90.6	78.0	59.3	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	22	1939-09-20		Yes	X	USGS	1.81	85.3				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	85.3	51.0	41.4	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	23	1939-10-09		Yes	X	USGS	1.97	113				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	113	80.0	89.0	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	24	1939-10-23		Yes	X	USGS	1.83	95.4				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	95.4	127	223	0.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	25	1939-11-17		Yes	X	USGS	3.40	768				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	768	189	652	1.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	26	1939-11-24		Yes	X	USGS	2.84	449				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	449	186	268	1.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	27	1939-12-17		Yes	X	USGS	3.06	536				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	536	178	210	2.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	28	1940-01-05		Yes	X	USGS	3.50	574				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	574	147	601	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	29	1940-01-11		Yes	X	USGS	3.61	527				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	527	180	343	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	30	1940-01-29		Yes	X	USGS	3.27	329				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	329	140	191	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	31	1940-02-27		Yes	X	USGS	3.52	448				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	448	120	218	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	32	1940-04-02		Yes	GS	USGS	11.45	14400				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		14400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	33	1940-04-11		Yes	GS	USGS	10.35	11600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		11600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	34	1940-04-23		Yes	X	USGS	8.17	6770				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6770	208	1590	4.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	35	1940-05-09		Yes	X	USGS	4.23	1450				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1450	180	766	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	36	1940-05-22		Yes	X	USGS	3.91	1190				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1190	177	767	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	37	1940-06-13		Yes	X	USGS	3.26	651				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	651	222	359	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	38	1940-07-02		Yes	X	USGS	3.28	685				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	685	219	366	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	39	1940-08-03		Yes	X	USGS	2.22	206				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	206	100	112	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	40	1940-08-27		Yes	X	USGS	1.94	126				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	126	98.5	90.4	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	41	1940-09-23		Yes	X	USGS	1.96	136				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	136	90.0	89.7	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	42	1940-10-09		Yes	X	USGS	3.64	908				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	908	225	381	2.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	43	1940-11-12		Yes	X	USGS	3.28	686				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	686	201	355	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01500500	44	1940-12-11		Yes	X	USGS	3.41	769				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	769	223	395	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
