#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:23:06 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01503000 SUSQUEHANNA RIVER AT CONKLIN NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01503000	1	1912-07-25		Yes	X	USGS	2.10	361				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	361	164	320	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	2	1912-11-14		Yes	X	USGS	5.57	4570				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4570	361	2200	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	3	1913-03-14		Yes	X	USGS	6.93	7630				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7630	361	1650	2.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	4	1913-03-15		Yes	X	USGS	9.07	13100				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	13100	378	3470	3.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	5	1913-03-28		Yes	gs	USGS	18.20	51400				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		51400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	6	1913-03-31		Yes	X	USGS	9.10	13100				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	13100	381	3530	3.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	7	1913-05-06		Yes	X	USGS	3.50	1380				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1380	339	1470	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	8	1913-07-29		Yes	X	USGS	2.00	308				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	308	125	151	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	9	1913-09-18		Yes	X	USGS	1.55	147				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	147	170	208	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	10	1914-01-08		Yes	X	USGS	3.13	1130				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1130	381	1360	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	11	1914-01-23		Yes	X	USGS	3.46	917				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	917	285	1190	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	12	1914-02-01		Yes	X	USGS	8.40	10700				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10700	375	3160	3.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	13	1914-02-21		Yes	X	USGS	5.20	885				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	885	325	1600	0.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	14	1914-03-10		Yes	X	USGS	6.36	1200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1200	251	1290	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	15	1914-03-25		Yes	X	USGS	5.31	1090				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1090	250	1140	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	16	1914-03-30		Yes	gs	USGS	16.42	41000				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		41000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	17	1914-04-04		Yes	X	USGS	11.92	21900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	21900	380	4540	4.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	18	1914-06-11		Yes	X	USGS	3.93	1820				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1820	291	1600	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	19	1914-09-18		Yes	X	USGS	2.67	630				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	630	189	282	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	20	1914-09-23		Yes	X	USGS	2.43	488				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	488	161	229	2.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	21	1914-10-03		Yes	X	USGS	2.35	523				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	523	158	242	2.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	22	1914-11-02		Yes	X	USGS	2.21	368				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	368	158	211	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01503000	23	1914-12-23		Yes	X	USGS	2.94	654				Unspecified			IceCover	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	654	334	854	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
