#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:23:08 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01513500 SUSQUEHANNA RIVER AT VESTAL NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01513500	1	1937-01-27		Yes	X	USGS		30900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	30900	697	9890	3.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	2	1937-03-09		Yes	X	USGS	5.17	5440				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5440	630	3290	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	3	1937-03-15		Yes	X	USGS	3.86	3370				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3370	592	2490	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	4	1937-03-20		Yes	X	USGS	3.82	3350				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3350	587	2470	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	5	1937-03-23		Yes	X	USGS	6.53	7540				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7540	634	4140	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	6	1937-04-08		Yes	X	USGS	15.58	32500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	32500	699	10200	3.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	7	1937-04-10		Yes	X	USGS	13.56	26000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	26000	686	8740	2.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	8	1937-04-12		Yes	X	USGS	10.20	16200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	16200	657	6480	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	9	1937-04-13		Yes	X	USGS	9.36	14200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	14200	654	6020	2.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	10	1937-05-03		Yes	X	USGS	5.50	5860				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5860	629	3500	1.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01513500	11	1937-05-12		Yes	X	USGS	4.17	3990				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3990	607	2660	1.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
