#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:23:12 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01515000 SUSQUEHANNA RIVER NEAR WAVERLY NY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01515000	1	1937-03-09		Yes	X	USGS	2.60	6810				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6810	586	2350	2.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	2	1937-03-16		Yes	X	USGS	1.68	4160				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4160	567	1710	2.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	3	1937-03-24		Yes	X	USGS	3.97	11500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	11500	621	3340	3.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	4	1937-04-08		Yes	X	USGS	9.34	39600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	39600	669	6780	5.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	5	1937-04-10		Yes	X	USGS	8.03	33700				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	33700	676	6390	5.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	6	1937-04-12		Yes	X	USGS	5.56	18800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	18800	661	4400	4.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	7	1937-04-24		Yes	X	USGS	7.55	29600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	29600	674	5740	5.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	8	1937-05-12		Yes	X	USGS	1.99	4790				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4790	575	1820	2.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	9	1937-05-18		Yes	X	USGS	3.83	10900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10900	606	3090	3.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	10	1937-06-02		Yes	X	USGS	1.58	3680				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3680	568	1550	2.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	11	1937-06-04		Yes	X	USGS	1.63	3720				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3720	565	1580	2.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	12	1937-06-16		Yes	X	USGS	1.79	4860				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4860	567	1900	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	13	1937-06-18		Yes	X	USGS	1.22	2940				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2940	559	1340	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	14	1937-06-23		Yes	X	USGS	5.08	16800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	16800	663	4120	4.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	15	1937-06-25		Yes	X	USGS	2.75	7160				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7160	586	2390	3.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	16	1937-07-15		Yes	X	USGS	1.39	3160				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3160	548	1400	2.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	17	1937-07-30		Yes	X	USGS	0.30	1240				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1240	487	800	1.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	18	1937-08-20		Yes	X	USGS	0.47	1490				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1490	533	916	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	19	1937-09-30		Yes	X	USGS	0.63	1540				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1540	533	940	1.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	20	1937-10-12		Yes	X	USGS	0.45	1320				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1320	485	834	1.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	21	1937-10-28		Yes	X	USGS	3.62	9880				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	9880	604	2890	3.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	22	1937-10-30		Yes	X	USGS	6.35	21800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	21800	654	4900	4.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	23	1937-11-15		Yes	X	USGS	5.54	17900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17900	656	4250	4.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	24	1937-12-01		Yes	X	USGS	3.12	8150				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	8150	587	2470	3.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	25	1937-12-30		Yes	X	USGS	2.14	4750				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4750	575	1820	2.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	26	1938-01-10		Yes	X	USGS	2.13	4930				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4930	569	1840	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	27	1938-01-24		Yes	X	USGS	1.50	3240				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3240	564	1990	1.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	28	1938-02-09		Yes	X	USGS	7.00	27300				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	27300	652	5340	5.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	29	1938-02-23		Yes	X	USGS	3.14	8160				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	8160	589	2540	3.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01515000	30	1938-03-21		Yes	X	USGS	5.79	19600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	19600	650	4380	4.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
