#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:23:15 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01533400 Susquehanna River at Meshoppen, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01533400	1	1975-08-13		Yes	DIL/KAU	USGS	7.80	2250				Good	-0.01	1.10		MEAS	1	Imported Channel 1	UNSP	other		2250				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	2	1976-02-18		Yes	MIL	USGS	26.64	117000				Unspecified	-0.02	2.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	117000	1060	19000	6.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	3	1976-03-24		Yes	SWE	USGS	14.30	21600				Good	-0.06	2.20		MEAS	1	Imported Channel 1	UNSP	other		21600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	4	1976-04-28		Yes	KEK	USGS	15.55	27000				Good	-0.06	3.30		MEAS	1	Imported Channel 1	UNSP	other		27000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	5	1976-06-09		Yes	SWE	USGS	12.25	13000				Good	0.00	2.00		MEAS	1	Imported Channel 1	UNSP	other		13000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	6	1976-09-09		Yes	DIL	USGS	8.08	3070				Unspecified	-0.01	1.50		MEAS	1	Imported Channel 1	UNSP	other		3070				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	7	1976-10-19		Yes	SWE	USGS	12.20	13100				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		13100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	8	1977-03-07		Yes	KEK	USGS	18.72	47500				Good	-0.20	2.30		MEAS	1	Imported Channel 1	UNSP	other		47500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	9	1977-04-01		Yes	BAB	USGS	21.71	72400				Unspecified	-0.12	3.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	72400	970	13500	5.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	10	1977-05-13		Yes	BAB	USGS	13.08	17700				Unspecified	-0.03	2.20		MEAS	1	Imported Channel 1	UNSP	other		17700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	11	1977-06-03		Yes	POP	USGS	8.18	2980				Poor	-0.01	2.80		MEAS	1	Imported Channel 1	UNSP	other		2980				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	12	1977-07-26		Yes	RAB/LEN	USGS	7.60	1660				Unspecified	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		1660				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01533400	13	1977-09-22		Yes	WDP/MIL	USGS	20.09	53200				Good	-0.10	1.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	53200	980	11800	4.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
