#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:23:16 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01536500 Susquehanna River at Wilkes-Barre, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01536500	1	1899-03-30		Yes	PAU	USGS	9.00	24800				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		24800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01536500	2	1899-06-06		Yes	PAU	USGS	4.30	3670				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		3670				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01536500	3	1899-07-26		Yes	PAU	USGS	2.80	1920				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	1920		1220	1.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01536500	4	1899-07-27		Yes	PAU	USGS	2.80	1360				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1360				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01536500	5	1899-09-17		Yes	PAU	USGS	2.30	851				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		851				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01536500	6	1899-09-18		Yes	PAU	USGS	2.30	1100				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	1100		1120	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01536500	7	1899-10-06		Yes	PAU	USGS	2.35	1110				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1110				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01536500	8	1900-03-20		Yes	PAU	USGS	5.60	6770				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		6770				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01536500	9	1900-09-26		Yes	PAU	USGS	2.20	961				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	961		1020	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
