#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:23:45 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02314274 SUWANNEE RIVER AT SILL NEAR FARGO, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02314274	1	1998-12-02 10:50:00	EST	Yes	PEM	USGS	107.94	191				Fair	-0.01	0.80	Unspecifed	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	191	89.0	229	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02314274	2	1999-02-10 17:00:00	EST	Yes	PEM	USGS	110.53	629				Fair	0.00	0.80	Unspecifed	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	629	102	505	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02314274	3	1999-04-28 11:10:00	EDT	Yes	PEM	USGS	106.30	51.0				Fair	0.00	0.50	Unspecifed	MEAS	1	Imported Channel 1	WADE	unspe	unkno	51.0	40.0	66.8	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02314274	4	1999-05-13 14:30:00	EDT	Yes	PEM	USGS	106.06	41.3				Fair	0.00	0.30	Unspecifed	MEAS	1	Imported Channel 1	WADE	unspe	unkno	41.3	40.0	58.7	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02314274	5	1999-05-25 09:55:00	EDT	Yes	PEM	USGS	105.18	12.3				Fair	-0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.3	27.0	28.1	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02314274	6	1999-06-08 13:40:00	EDT	Yes	PEM	USGS	104.86	5.54				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.54	26.0	22.9	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02314274	7	1999-08-24 11:50:00	EDT	Yes	PEM	USGS	106.19	51.8				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	51.8	46.0	79.8	0.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02314274	8	1999-11-01 13:45:00	EST	Yes	PEM	USGS	106.40	54.1				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	54.1	40.0	67.5	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02314274	9	2000-01-13 11:50:00	EST	Yes	PEM/GT	USGS	106.06	38.8				Fair	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	38.8	37.0	57.5	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
