#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:23:49 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02315000 SUWANNEE R NR BENTON FLA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02315000	1	1931-12-08		Yes	va	USGS	1.20	2.33				Unspecified	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.33	8.00	3.30	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	2	1932-01-22		Yes	a	USGS	1.23	2.02				Unspecified	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.02	18.0	5.40	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	3	1932-02-19		Yes	RPM	USGS	1.20	0.93				Unspecified	0.16	0.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.93	11.0	3.76	0.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	4	1932-03-17		Yes	RPM	USGS	1.38	9.20				Unspecified	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.20	45.0	34.6	0.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	5	1932-04-27		Yes	RPM	USGS	1.25	4.41				Unspecified	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.41	32.0	8.98	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	6	1932-05-24		Yes	RPM	USGS	1.18	1.27				Unspecified	0.00	0.20		MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.27	19.0	3.66	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	7	1932-06-17		Yes	RPM	USGS	5.99	1470				Unspecified	0.06	0.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1470	122	1090	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	8	1932-07-06		Yes	RPM	USGS	4.30	884				Unspecified	0.01	0.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	884	112	953	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	9	1932-08-09		Yes	VA	USGS	6.61	1690				Unspecified	0.07	1.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1690	130	1240	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	10	1932-08-10		Yes	VA	USGS	7.21	1980				Unspecified	0.03	1.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1980	131	1330	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02315000	11	1932-08-25		Yes	DSW	USGS	14.28	4540				Unspecified	0.06	1.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4540	154	2310	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
