#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:24:09 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 0157155014 Swatara Creek, Site C3, at Newtown, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	0157155014	1	1996-04-19 09:00:00	EDT	Yes	JAB/KAB	USGS		11.6				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.6	14.0	7.88	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	2	1996-06-11 11:30:00	EDT	Yes	KAB/MFE	USGS		1.86				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.86	6.40	3.94	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	3	1996-07-19 15:25:00	EDT	Yes	KB	USGS	1.08	7.31				Poor			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	7.31	13.5	11.0	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	4	1996-08-06 16:15:00	EDT	Yes	KAB/MFE	USGS	0.94	2.35				Poor	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.35	7.80	4.64	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	5	1996-08-26 11:00:00	EDT	Yes	kb	USGS	0.80	0.97				Excellent	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.97	7.50	3.47	0.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	6	1996-10-21 11:45:00	EDT	Yes	kb	USGS	1.61	20.8				Fair	-0.02	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.8	18.3	12.0	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	7	1996-12-03 14:00:00	EST	Yes	kb	USGS	1.66	25.8				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	25.8	19.8	14.1	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	8	1996-12-17 13:30:00	EST	Yes	KAB/CAC	USGS	1.51	18.8				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.8	19.5	12.6	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	9	1997-01-23 14:15:00	EST	Yes	kb	USGS	1.03	2.93				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.93	10.0	5.06	0.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	10	1997-02-26 13:15:00	EST	Yes	kb	USGS	1.19	6.81				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.81	12.0	6.05	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	11	1997-03-04 12:30:00	EST	Yes	KAB/KIM	USGS	1.10	4.44				Excellent	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.44	12.0	5.36	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	12	1997-04-23 12:45:00	EDT	Yes	kb	USGS	0.99	2.32				Poor	-0.10	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.32	10.2	3.68	0.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	13	1997-06-12 10:30:00	EDT	Yes	KAB/MFE	USGS	1.06	3.70				Good	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.70	11.6	4.70	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	14	1997-07-15 13:30:00	EDT	Yes	kb	USGS	0.71	0.32				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.32	6.00	1.76	0.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	15	1997-07-24 15:42:00	EDT	Yes	kab/jjr	USGS	1.36	11.7				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.7	12.5	7.46	1.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	16	1997-09-23 09:41:00	EDT	Yes	KAB/SSK	USGS	0.91	1.64				Good	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.64	8.80	2.22	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	17	1997-10-31 09:45:00	EST	Yes	KAB/STK	USGS	0.84	0.70				Poor	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.70	6.50	2.60	0.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	0157155014	18	1998-01-07 13:07:00	EST	Yes	kb	USGS	1.26	6.10				Poor	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	6.10	6.60	3.48	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
