#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:24:09 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01571820 Swatara Creek at Ravine, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01571820	1	1996-04-25		Yes	JKB/KAB	USGS		135				Good				MEAS	1	Imported Channel 1	WADE	unspe	unkno	135	54.0	63.8	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01571820	2	1996-06-10 17:30:00	EDT	Yes	KAB	USGS	1.23	89.0				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	89.0	55.0	56.9	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01571820	3	1996-07-12 14:48:00	EDT	Yes	LJR/MFE	USGS	0.97	40.4				Poor	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	40.4	45.0	47.9	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01571820	4	1996-08-06 11:20:00	EDT	Yes	KAB/MFE	USGS	0.95	49.0				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	49.0	56.0	54.0	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01571820	5	1996-08-26 15:30:00	EDT	Yes	kab	USGS	0.77	31.5				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	31.5	52.0	45.0	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01571820	6	1996-09-13 12:30:00	EDT	Yes	kb	USGS	1.17	78.4				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	78.4	53.5	61.3	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01571820	7	1996-10-21 15:30:00	EDT	Yes	kb	USGS	2.01	329				Good	0.02	1.00	Clear	STOR	1	Imported Channel 1	WADE	unspe	unkno	329	53.0	112	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01571820	8	1996-12-09 14:45:00	EST	Yes	kb	USGS	1.61	202				Fair	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	202	53.0	96.3	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01571820	9	1996-12-17 10:30:00	EST	Yes	kab/cac	USGS	1.96	308				Excellent	0.00		Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	308	57.0	120	2.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
