#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:24:16 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01573560 Swatara Creek near Hershey, PA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01573560	1	1975-09-24		Yes	M	USGS	2.90	1790				Unspecified	0.13	1.50	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1790	252	1340	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01573560	2	1975-09-25		Yes	M	USGS	6.52	7690				Unspecified	0.06	1.50	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7690	284	2030	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01573560	3	1975-09-26		Yes	rmg	USGS	15.10	28600				Unspecified	0.45	4.80	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	28600	665	5380	5.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01573560	4	1975-10-23		Yes	S	USGS	2.58	1200				Poor	-0.02	2.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1200	265	1610	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01573560	6	1975-12-31		Yes	D	USGS	2.82	1460				Fair	-0.02	2.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1460	261	1560	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01573560	7	1976-02-17		Yes	K	USGS	3.46	2560				Unspecified	0.00	2.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2560	271	1740	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01573560	8	1976-03-31		Yes	M	USGS	2.08	544				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	544	122	226	2.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01573560	9	1976-07-01		Yes	P	USGS	4.27	4100				Good	-0.36	1.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4100	275	1940	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01573560	10	1976-10-09		Yes	tk	USGS	9.12	14700				Poor	0.15	2.00	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	14700	283	2940	5.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
