#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:24:29 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02412000 TALLAPOOSA RIVER NEAR HEFLIN, ALA.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02412000	1	1948-08-12		Yes	xxx	USGS		409				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		409				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	2	1948-08-25		Yes	xxx	USGS		275				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		275				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	3	1948-09-23		Yes	xxx	USGS		136				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		136				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	4	1949-05-17		Yes	xxx	USGS		716				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		716				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	5	1952-08-04		Yes	xxx	USGS		128				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		128				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	7	1953-01-09		Yes	xxx	USGS	18.94	6710				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		6710				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	8	1953-11-10		Yes	xxx	USGS	20.40	8420				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		8420				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	22	1954-01-23		Yes	xxx	USGS	12.44	3750				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3750				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	105	1961-02-22		Yes	xxx	USGS	26.39	19300				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		19300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02412000	116	1961-12-14		Yes	xxx	USGS	18.62	7080				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		7080				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
