#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:24:36 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02418500 TALLAPOOSA RIVER BELOW TALLASSEE AL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02418500	295	1972-09-04 11:15:00	CDT	Yes	RHC/GMS	USGS	-1.30	61.3				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	61.3	142	201	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02418500	296	1977-09-05 09:00:00	CDT	Yes	FDB/SLK	USGS		78.5				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	78.5	36.0	55.4	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02418500	297	1980-09-01 08:10:00	CDT	Yes	BGB/FDB	USGS		79.5				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	79.5	26.0	35.8	2.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02418500	298	1983-09-05 08:25:00	CDT	Yes	FDB	USGS		69.1				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	69.1	49.0	73.9	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02418500	299	1990-09-24 09:50:00	CDT	Yes	JLP/DLB	USGS		75.4				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	75.4	149	179	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02418500	300	1990-09-28 09:50:00	CDT	Yes	JLP/BGB	USGS		80.1				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	80.1	160	263	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02418500	301	1990-10-03 09:15:00	CDT	Yes	SLK/JLP	USGS		430				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	430	231	472	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02418500	302	1990-10-10 09:35:00	CDT	Yes	JLP/DLB	USGS		1320				Good			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1320	294	2670	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02418500	303	1990-10-25 09:20:00	CDT	Yes	DLB/SLK	USGS		9180				Fair			Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	9180	310	3610	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
