#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:25:07 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03501500 LITTLE TENNESSEE R AT FRANKLIN, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03501500	2	1909-06-09		Yes	MRH	USGS	4.34	2380				UNSP				MEAS	1		UNSP	QSCMM		2380				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	1	1909-06-09		Yes	MRH	USGS	4.42	2380				UNSP				MEAS	1		UNSP	QSCMM		2380				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	3	1909-10-30		Yes	EHS	USGS	1.63	462				UNSP				MEAS	1		UNSP	QSCMM		462				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	5	1910-06-25		Yes	MRH	USGS	2.49	833				UNSP				MEAS	1		UNSP	QSCMM		833				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	4	1910-06-25		Yes	MRH	USGS	2.49	827				UNSP				MEAS	1		UNSP	QSCMM		827				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	17	1920-10-28		Yes	WEH	USGS	1.54	394				UNSP				MEAS	1		UNSP	QSCMM		394				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	18	1921-02-09		Yes	WEH/LJH	USGS	4.64	2790				UNSP				MEAS	1		UNSP	QSCMM		2790				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	20	1921-02-10		Yes	WEH/LJH	USGS	7.22	5170				UNSP				MEAS	1		UNSP	QSCMM		5170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	19	1921-02-10		Yes	WEH/LJH	USGS	6.39	4300				UNSP				MEAS	1		UNSP	QSCMM		4300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	21	1921-02-10		Yes	WEH/LJH	USGS	7.32	5320				UNSP				MEAS	1		UNSP	QSCMM		5320				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	24	1921-02-11		Yes	LJH	USGS	6.22	4190				UNSP				MEAS	1		UNSP	QSCMM		4190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	22	1921-02-11		Yes	LJH	USGS	7.00	4900				UNSP				MEAS	1		UNSP	QSCMM		4900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	23	1921-02-11		Yes	LJH	USGS	6.48	4500				UNSP				MEAS	1		UNSP	QSCMM		4500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	25	1921-02-13		Yes	LJH	USGS	3.84	1990				UNSP				MEAS	1		UNSP	QSCMM		1990				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	26	1921-04-18		Yes	WEH	USGS	3.20	1480				UNSP				MEAS	1		UNSP	QSCMM		1480				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	27	1921-07-09		Yes	LJH	USGS	1.88	572				UNSP				MEAS	1		UNSP	QSCMM		572				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	28	1921-08-10		Yes	LJH	USGS	1.61	432				UNSP				MEAS	1		UNSP	QSCMM		432				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	29	1921-08-11		Yes	LJH	USGS	1.58	416				UNSP				MEAS	1		UNSP	QSCMM		416				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	30	1921-09-21		Yes	LJH	USGS	1.42	347				UNSP				MEAS	1		UNSP	QSCMM		347				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	31	1921-09-22		Yes	LJH	USGS	1.78	515				UNSP				MEAS	1		UNSP	QSCMM		515				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	32	1922-08-10		Yes	LJH	USGS	1.60	418				UNSP				MEAS	1		UNSP	QSCMM		418				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	33	1922-08-11		Yes	LJH	USGS	1.78	501				UNSP				MEAS	1		UNSP	QSCMM		501				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	34	1923-06-14		Yes	LJH	USGS	2.62	1040				UNSP				MEAS	1		UNSP	QSCMM		1040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	35	1923-06-15		Yes	LJH	USGS	2.54	1000				UNSP				MEAS	1		UNSP	QSCMM		1000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	36	1923-08-26		Yes	WRK/LJH	USGS	1.53	386				UNSP				MEAS	1		UNSP	QSCMM		386				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	37	1923-08-26		Yes	WRK/LJH	USGS	1.53	392				UNSP				MEAS	1		UNSP	QSCMM		392				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	38	1923-10-27		Yes	LJH	USGS	1.11	227				UNSP				MEAS	1		UNSP	QSCMM		227				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	39	1924-02-28		Yes	DBV	USGS	2.98	1350				UNSP				MEAS	1		UNSP	QSCMM		1350				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	40	1924-03-13		Yes	DBV	USGS	2.42	920				UNSP				MEAS	1		UNSP	QSCMM		920				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	41	1924-05-20		Yes	DBV	USGS	2.20	747				UNSP				MEAS	1		UNSP	QSCMM		747				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	42	1924-07-26		Yes	LJH	USGS	1.58	421				UNSP				MEAS	1		UNSP	QSCMM		421				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	43	1924-09-29		Yes	LJH	USGS	2.61	1040				UNSP				MEAS	1		UNSP	QSCMM		1040				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	44	1924-09-30		Yes	LJH	USGS	2.47	910				UNSP				MEAS	1		UNSP	QSCMM		910				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03501500	45	1924-11-05		Yes	EDB/LJH	USGS	1.27	293				UNSP				MEAS	1		UNSP	QSCMM		293				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
