#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:25:08 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03502000 LITTLE TENNESSEE RIVER AT IOTLA, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03502000	1	1929-09-29		Yes	KJ	USGS	3.35	1540				UNSP				MEAS	1		UNSP	QSCMM		1540				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	2	1929-11-27		Yes	HWP	USGS	3.23	1390				UNSP				MEAS	1		UNSP	QSCMM		1390				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	3	1930-04-12		Yes	KJ	USGS	2.39	687				UNSP				MEAS	1		UNSP	QSCMM		687				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	4	1930-06-04		Yes	HWP	USGS	2.23	561				UNSP				MEAS	1		UNSP	QSCMM		561				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	5	1930-09-11		Yes	LJH/AGH	USGS	2.86	1100				UNSP				MEAS	1		UNSP	QSCMM		1100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	6	1930-09-12		Yes	LJH/AGH	USGS	1.94	459				UNSP				MEAS	1		UNSP	QSCMM		459				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	7	1930-12-05		Yes	RWS	USGS	1.88	380				UNSP				MEAS	1		UNSP	QSCMM		380				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	8	1930-12-07		Yes	RWS	USGS	1.96	420				UNSP				MEAS	1		UNSP	QSCMM		420				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	9	1930-12-13		Yes	AGH/RWS	USGS	1.95	400				UNSP				MEAS	1		UNSP	QSCMM		400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	10	1930-12-14		Yes	AGH/RWS	USGS	1.84	360				UNSP				MEAS	1		UNSP	QSCMM		360				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	11	1931-02-05		Yes	EDB	USGS	1.84	374				UNSP				MEAS	1		UNSP	QSCMM		374				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	12	1931-04-02		Yes	AGH	USGS	3.30	1400				UNSP				MEAS	1		UNSP	QSCMM		1400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	13	1931-04-04		Yes	RWS	USGS	4.96	3210				UNSP				MEAS	1		UNSP	QSCMM		3210				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	14	1931-04-22		Yes	AGH	USGS	4.96	3260				UNSP				MEAS	1		UNSP	QSCMM		3260				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	16	1931-04-23		Yes	AGH	USGS	4.49	2640				UNSP				MEAS	1		UNSP	QSCMM		2640				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	15	1931-04-23		Yes	AGH	USGS	4.07	1910				UNSP				MEAS	1		UNSP	QSCMM		1910				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03502000	17	1931-05-13		Yes	AGH	USGS	2.58	801				UNSP				MEAS	1		UNSP	QSCMM		801				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
