#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:25:20 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03568000 TENNESSEE RIVER AT CHATTANOOGA, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03568000	550	1984-09-19		Yes	JTH/FDE	USGS	15.17	46400				Good	0.05	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	46400	1020	17600	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	551	1985-07-31		Yes	DE	USGS	14.93	41600				Good	0.08	2.00	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	41600	1000	16700	2.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	552	1987-03-11		Yes	B/F	USGS	16.36	54100				Good	0.02	2.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	54100	1000	18400	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	553	1987-03-11		Yes	H/P	USGS	16.36	53000				Good	0.02	2.60	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	53000	1010	18500	2.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	554	1988-03-16 09:30:00	EST	Yes	B/F	USGS	15.44	42800				Good	0.20	2.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	42800	998	17600	2.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	555	1988-03-16 09:31:00	EST	Yes	H/D	USGS	15.44	43800				Good	0.20	2.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	43800	994	17500	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	556	1989-04-26 10:30:00	EDT	Yes	K/F	USGS	13.98	27200				Good	-0.17	2.80	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	27200	1000	16600	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	557	1989-04-26 13:45:00	EDT	Yes	K/F	USGS	13.90	26900				Good	-0.04	1.80	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	26900	1010	17200	1.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	558	1990-05-23 12:45:00	EDT	Yes	B/F/K/B	USGS	14.96	40700				Good	0.34	2.50	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	40700	997	17400	2.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	559	1990-05-23 12:46:00	EDT	Yes	B/F/K/B	USGS	14.98	41100				Good	0.34	3.00	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	41100	997	17400	2.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	560	1991-06-26 09:45:00	EDT	Yes	DEB/DVS	USGS	15.52	45700				Good	0.13	3.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	45700	1000	17800	2.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	561	1991-06-26 10:00:00	EDT	Yes	H/P	USGS	15.51	46500				Good	0.11	2.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	46500	1010	18000	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	562	1992-09-16 15:40:00	EDT	Yes	ACH	USGS	14.70	39900				Good	0.19	2.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	39900	1010	17300	2.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	563	1993-07-06 15:10:00	EDT	Yes	ACH/TDT	USGS	14.43	30500				Fair	0.03	2.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	30500	1000	16600	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	564	1993-12-21 14:45:00	EST	Yes	ACH	USGS	15.64	45200				Fair	0.08	2.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	45200	1010	17900	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	565	1994-02-09 12:00:00	EST	Yes	ACH/CWC	USGS	15.47	46300				Good	-0.56	2.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	46300	1010	18000	2.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	566	1994-05-11 10:25:00	EDT	Yes	ACH/GCL	USGS	13.79	31600				Good	0.10	2.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	31600	1000	16300	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	567	1994-08-11 10:25:00	EDT	Yes	ACH/TDT	USGS	15.00	44700				Fair	-0.07	2.20		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	44700	1010	17400	2.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	568	1995-01-12 11:05:00	EST	Yes	JCB/TDT	USGS	14.95	36700				Good	0.07	3.10		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	36700	1010	17600	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	569	1995-03-29 13:00:00	EST	Yes	JCB/TDT	USGS	13.52	19900				Fair	-0.29	1.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	19900	1010	15600	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	570	1995-08-29 10:00:00	EDT	Yes	JCB/TDT	USGS	14.63	41500				Fair	0.35	2.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	41500	1010	17200	2.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	571	1996-02-27 13:45:00	EST	Yes	TDT/TDP	USGS	15.50	45300				Fair	0.02	2.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	45300	1020	17700	2.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	572	1996-04-26 12:05:00	EDT	Yes	TDT/TDP	USGS	13.30	25500				Fair	0.03	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	25500	1010	15900	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	573	1996-08-09 12:00:00	EDT	Yes	TDT/BAB	USGS	14.69	41700				Fair	0.05	2.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	41700	977	17000	2.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	574	1996-10-28 12:32:00	EST	Yes	TDT/BAB	USGS	15.22	45800				Fair	0.14	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	45800	1010	18300	2.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	575	1997-02-27 11:00:00	EST	Yes	TDT/JGL	USGS	15.90	47400				Good	0.08	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	47400	1040	18500	2.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	576	1997-06-10 09:10:00	EDT	Yes	TDT/JGL	USGS	14.54	38300				Good	-0.08	1.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	38300	1040	17300	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	577	1997-09-30 09:30:00	EDT	Yes	TDT/JGL	USGS	13.89	33400				Good	-0.07	1.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	33400	1040	16400	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	578	1998-01-27 10:40:00	EST	Yes	TDT/JGL	USGS	15.96	54200				Good	0.05	1.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	54200	1040	18600	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	579	1998-05-20 12:20:00	EDT	Yes	TDT/GSO	USGS	13.11	30500				Fair	0.64	2.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	30500	1010	16300	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03568000	580	1998-12-22 09:50:00	EST	Yes	TDT/TDP	USGS	14.74	48500				Fair	-0.04	1.70	Clear	UNSP	1	Imported Channel 1	CRAN	unspe	unkno	48500	1020	17800	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
