#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:25:26 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03589500 TENNESSEE RIVER AT FLORENCE AL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03589500	1	1913-08-21 11:00:00	CST	Yes	fgd	USGS	0.55	13500				Unspecified	0.00	6.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	13500	1450	6920	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	2	1914-12-31 10:00:00	CST	Yes	mrh	USGS	18.90	215000				Unspecified	-0.20	6.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	215000	1910	40900	5.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	4	1915-02-12 08:30:00	CST	Yes	mrh	USGS	8.80	84300				Unspecified	-0.60			MEAS	1	Imported Channel 1	CRAN	unspe	unkno	84300	1820	20800	4.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	5	1915-02-16 08:30:00	CST	Yes	mrh	USGS	6.55	62000				Unspecified	-0.10	9.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	62000	1780	17000	3.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	6	1915-09-12 11:00:00	CST	Yes	weh	USGS	3.64	34500				Unspecified	-0.71	10.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	34500	1680	1680	2.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	7	1915-10-01 07:30:00	CST	Yes	ljh	USGS	1.49	19900				Unspecified	0.04	9.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	19900	1580	8620	2.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	8	1915-10-03 11:00:00	CST	Yes	ljh	USGS	4.57	47300				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	47300	1720	13600	3.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	9	1915-10-05 08:00:00	CST	Yes	ljh	USGS	8.00	91900				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	91900	1820	20200	4.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	3	1915-12-11 09:10:00	CST	Yes	mrh	USGS	17.90	199000				Unspecified	-0.20	6.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	199000	1910	38900	5.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	10	1915-12-14 09:00:00	CST	Yes	ljh	USGS	2.05	22700				Unspecified	0.00	7.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	22700	1600	9330	2.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	11	1916-01-13 09:00:00	CST	Yes	ljh	USGS	14.62	166000				Unspecified	0.25	5.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	166000	1890	32200	5.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	12	1916-01-14 08:00:00	CST	Yes	ljh	USGS	15.17	173000				Unspecified	-0.10	4.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	173000	1890	33200	5.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	13	1916-09-08 08:00:00	CST	Yes	ljh	USGS	1.47	19800				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	19800	1540	8470	2.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	14	1916-10-17 08:00:00	CST	Yes	LJH	USGS	0.30	13800				Unspecified	0.00	7.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	13800	1470	6790	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	15	1917-02-28 09:00:00	CST	Yes	LJH	USGS	12.30	13000				Unspecified	-0.40	5.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	13000	1870	28000	4.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	16	1917-03-11 09:30:00	CST	Yes	LJH	USGS	24.30	310000				Unspecified	0.00			MEAS	1	Imported Channel 1	CRAN	unspe	unkno	310000	1910	50400	6.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	17	1917-03-12 14:45:00	CST	Yes	LJH	USGS	24.60	319000				Unspecified	0.00	2.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	319000		50900	6.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	18	1917-10-30 08:00:00	CST	Yes	LJH	USGS	1.07	17100				Unspecified	0.08			MEAS	1	Imported Channel 1	CRAN	unspe	unkno	17100	1530	7740	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	19	1917-11-25 09:00:00	CST	Yes	LJH	USGS	0.25	12800				Unspecified	-0.02	7.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	12800	1470	6680	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	20	1918-02-06 04:20:00	CST	Yes	LJH	USGS	19.55	230000				Unspecified	0.08	4.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	230000	1930	42400	5.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	22	1918-04-05 06:00:00	CDT	Yes	LJH	USGS	3.48	36400				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	36400	1740	12000	3.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	21	1918-04-16 07:20:00	CDT	Yes	LJH	USGS	5.47	52500				Unspecified	-0.21			MEAS	1	Imported Channel 1	CRAN	unspe	unkno	52500	1800	15200	3.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	23	1918-05-14 10:00:00	CDT	Yes	CGP	USGS	8.56	79000				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	79000	1540	20900	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	25	1918-05-18 10:15:00	CDT	Yes	LJH	USGS	8.35	77400				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	77400	1520	20700	3.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	26	1918-05-20 08:45:00	CDT	Yes	LJH	USGS	6.15	57400				Unspecified	-0.20			MEAS	1	Imported Channel 1	CRAN	unspe	unkno	57400	1510	17800	3.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	27	1918-05-21 08:20:00	CDT	Yes	LJH	USGS	5.37	47200				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	47200	1510	15800	3.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	28	1918-06-24 08:30:00	CDT	Yes	LJH	USGS	2.10	23400				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	23400	1500	11100	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	29	1918-07-31		Yes	LJH	USGS	1.74	20900				Unspecified	0.02			MEAS	1	Imported Channel 1	CRAN	unspe	unkno	20900	1500	10800	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	101	1922-11-15 08:40:00	CST	Yes	BRR	USGS	-0.28	9210				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9210	1580	9070	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	102	1922-11-16 08:00:00	CST	Yes	JK	USGS	-0.44	9330				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	9330	1530	8590	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	105	1924-11-18 10:00:00	CST	Yes	CL	USGS	0.53	14900				Unspecified	0.15	7.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	14900	1360	5750	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	106	1925-08-08 09:05:00	CDT	Yes	EHM	USGS	-1.71	5190				Unspecified	0.14	10.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5190	819	2800	1.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	107	1925-09-26 12:20:00	CDT	Yes	DSW	USGS	-2.48	3280				Unspecified	-0.13			MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3280	874	3130	1.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	108	1925-09-28 08:40:00	CST	Yes	DSW	USGS	-2.50	3610				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3610	875	3070	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03589500	109	1925-09-30 11:15:00	CST	Yes	DSW	USGS	-2.37	3680				Unspecified	0.13	3.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3680	876	3170	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
