#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:25:27 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03593500 TENNESSEE RIVER AT SAVANNAH, TN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03593500	11	1931-04-03 12:00:00	CST	Yes	WJP	USGS	22.67	108000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		108000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	59	1936-04-08 13:00:00	CST	Yes	CW	USGS	47.19	311000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		311000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	150	1939-02-18 12:00:00	CST	Yes	FCA	USGS	43.91	283000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		283000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	200	1943-01-02 12:00:00	CDT	Yes	McM/J	USGS	40.83	253000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		253000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	239	1946-01-14 12:00:00	CST	Yes	MJS	USGS	91.13	323000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		323000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	269	1948-02-16 12:00:00	CST	Yes	CW	USGS	92.10	404000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		404000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	311	1954-01-26 12:00:00	CST	Yes	MP/GHW	USGS	85.16	306000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		306000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	365	1963-03-15 12:00:00	CST	Yes	EBB/CRG	USGS	86.74	335000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		335000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	415	1973-03-21 12:00:00	CST	Yes	CSB/EBB	USGS	45.45	396000				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		396000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	448	1988-03-18 09:45:00	CST	Yes	WKK/LBT	USGS	6.34	27500				Unspecified	0.06	2.30	Clear	OTHR	1	Imported Channel 1	CRAN	unspe	unkno	27500	700	17800	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	449	1988-06-22 08:45:00	CDT	Yes	WKK/RSC	USGS	8.25	28900				Unspecified	2.12	5.30	Clear	OTHR	1	Imported Channel 1	CRAN	unspe	unkno	28900	718	19200	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	450	1988-09-08 11:50:00	CDT	Yes	WKK/LBT	USGS	8.61	16500				Unspecified	0.15	2.10	Clear	OTHR	1	Imported Channel 1	CRAN	unspe	unkno	16500	658	18100	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	451	1989-03-09 14:15:00	CST	Yes	LBT/RWS	USGS	27.84	120000				Fair	-0.23	4.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	120000	814	32700	5.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	452	1989-06-01 13:22:00	CDT	Yes	LBT/RWS	USGS	10.70	50000				Fair	1.06	2.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	50000	738	20900	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	453	1990-02-23 09:10:00	CST	Yes	JWG/RWS	USGS	32.47	153000				Fair	-0.34	5.80	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	153000	2930	48000	4.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	454	1990-05-04 09:50:00	CDT	Yes	LBT/RWS	USGS	13.67	63200				Fair	-0.04	1.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		63200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	455	1990-08-29 10:50:00	CDT	Yes	WKK/RWS	USGS	9.44	52800				Fair	-0.12	2.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		52800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	456	1990-12-18 12:00:00	CST	Yes	LBT/WKK	USGS	9.01	46400				Fair	-0.47	2.80	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	46400	733	19900	2.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	457	1990-12-19 12:00:00	CST	Yes	LBT/WKK	USGS	11.83	70000				Good	0.18	4.00	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	70000	746	22100	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	458	1990-12-26 11:35:00	CST	Yes	JWG/RWS	USGS	40.94	247000				Fair	0.05		Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	247000	3100	74100	5.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	459	1990-12-27 07:47:00	CST	Yes	JWG/RWS	USGS	40.96	255000				Fair	-0.09	4.30	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	255000	3090	73600	5.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	460	1991-01-04 09:10:00	CST	Yes	WKK/RWS	USGS	27.98	136000				Fair	-0.13		DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	136000	878	34700	5.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	461	1991-08-14 13:25:00	CDT	Yes	RAO	USGS	9.45	44300				Fair	0.33	2.30	DebrisModerate	MEAS	1	Imported Channel 1	BRUS	unspe	unkno	44300	724	20300	2.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	462	1991-12-12 12:06:00	CST	Yes	LBT/RAO	USGS	25.43	110000				Fair	-0.28	3.20	Clear	MEAS	1	Imported Channel 1	BRUS	unspe	unkno	110000	838	33500	4.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	463	1992-08-12 12:20:00	CDT	Yes	LBT/RAO	USGS	9.87	58000				Fair	0.49	1.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	58000	730	20700	2.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	464	1993-02-17 14:00:00	CST	Yes	RAO/LBT	USGS	11.20	69900				Fair	-0.03	1.90	Clear	OTHR	1	Imported Channel 1	CRAN	unspe	unkno	69900	738	21500	3.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	465	1993-02-18 09:20:00	CST	Yes	RAO/LBT	USGS	12.05	85300				Fair	0.23	1.90	Clear	OTHR	1	Imported Channel 1	CRAN	unspe	unkno	85300	746	22500	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	466	1993-08-23 13:50:00	CDT	Yes	RAO/WKK	USGS	9.83	51500				Fair	0.95	1.90	Clear	OTHR	1	Imported Channel 1	CRAN	unspe	unkno	51500	734	20600	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	467	1993-08-24 08:45:00	CDT	Yes	RAO/WKK	USGS	7.53	6940				Fair	-0.18	1.60	Clear	OTHR	1	Imported Channel 1	CRAN	unspe	unkno	6940	702	18700	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03593500	468	1994-02-16 09:30:00	CST	Yes	WKK/RT	USGS	32.69	161000				Fair	0.00	4.00	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	161000	2040	49500	5.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
