#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:25:46 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03330241 TIPPECANOE RIVER AT NORTH WEBSTER, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03330241	1	1986-06-03		Yes	WAS	USGS	3.46	18.0				Fair	0.07	0.90	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.0	43.0	23.5	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330241	2	1986-07-14		Yes	WAS	USGS	4.22	83.3				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	83.3	34.0	59.5	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330241	3	1986-09-02		Yes	CRK	USGS	2.58	2.74				Fair	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.74	9.00	2.65	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330241	4	1986-10-16		Yes	WAS	USGS	4.20	89.5				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	89.5	34.5	59.9	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330241	5	1986-12-11		Yes	GEN	USGS	4.22	84.3				Unspecified	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	84.3	34.0	60.8	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330241	6	1987-01-28		Yes	JBE/WAS	USGS	3.70	49.6				Good	-0.02	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	49.6	34.0	48.9	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330241	7	1987-03-27		Yes	JBE	USGS	3.80	61.7				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	61.7	35.0	51.6	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330241	8	1987-06-09		Yes	JBE	USGS	2.86	14.7				Good	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.7	26.0	14.9	0.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330241	9	1987-07-23		Yes	WAS	USGS	3.02	11.5				Good	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.5	19.0	12.8	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
