#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:25:48 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03330500 TIPPECANOE RIVER AT OSWEGO, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03330500	1	1943-08-15 12:00:00	EST	Yes	IAH/RLG	USGS	6.80	89.0				Good			DebrisModerate	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	89.0	41.0	101	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330500	4	1944-04-21		Yes	DO	USGS	8.50	455				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	455	47.0	174	2.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330500	5	1945-06-13		Yes	CAR	USGS	6.90	136				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	136	41.0	118	1.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330500	8	1946-06-21		Yes	PAR/COO	USGS	6.50	85.1				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	85.1	44.0	93.0	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330500	17	1947-04-22		Yes	DO	USGS	7.86	262				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	262	45.4	153	1.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330500	22	1948-03-02		Yes	BAC	USGS	7.42	234				Fair			DebrisLight	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	234	44.0	154	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330500	30	1949-02-08		Yes	DO	USGS	7.16	216				Good			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	216	47.5	142	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330500	38	1950-01-14		Yes	HOF/EBE	USGS	8.10	501				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	501	48.5	181	2.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03330500	39	1950-01-15		Yes	DO	USGS	8.20	531				Excellent			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	531	49.0	185	2.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
