#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:26:21 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06298000 TONGUE RIVER NEAR DAYTON, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06298000	2	1941-01-20		Yes	JAW	USGS	1.55	36.6				Unspecified	0.00	0.50		UNSP	1	Imported Channel 1	UNSP	other		36.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	3	1941-02-18		Yes	JAW	USGS	1.50	33.0				Unspecified	-0.01	0.50		UNSP	1	Imported Channel 1	UNSP	other		33.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	4	1941-04-03		Yes	HPE	USGS	1.56	44.5				Unspecified	0.00	0.50		UNSP	1	Imported Channel 1	UNSP	other		44.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	5	1941-04-25		Yes	HPE	USGS	1.71	60.0				Unspecified	0.00	0.80		UNSP	1	Imported Channel 1	UNSP	other		60.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	6	1941-05-25		Yes	HPE	USGS	3.24	575				Unspecified	0.00	1.30		UNSP	1	Imported Channel 1	UNSP	other		575				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	7	1941-06-19		Yes	HPE	USGS	2.70	320				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		320				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	8	1941-07-08		Yes	HPE	USGS	2.22	158				Unspecified	-0.01	0.80		UNSP	1	Imported Channel 1	UNSP	other		158				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	9	1941-08-03		Yes	HPE	USGS	1.91	83.0				Unspecified	0.00	0.80		UNSP	1	Imported Channel 1	UNSP	other		83.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	10	1941-09-14		Yes	HPE	USGS	2.02	118				Unspecified	-0.01	0.80		UNSP	1	Imported Channel 1	UNSP	other		118				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	11	1941-09-27		Yes	HPE/RF	USGS	2.19	153				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		153				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	1	1941-11-12		Yes	HPE	USGS	1.30	22.1				Unspecified	-0.01	0.50		UNSP	1	Imported Channel 1	UNSP	other		22.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	14	1942-01-12		Yes	JGG	USGS	1.74	68.0				Unspecified	0.00	1.80		UNSP	1	Imported Channel 1	UNSP	other		68.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	15	1942-02-11		Yes	JGG	USGS	1.68	63.0				Unspecified	0.01	1.50		UNSP	1	Imported Channel 1	UNSP	other		63.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	16	1942-03-12		Yes	JGG	USGS	1.67	63.0				Unspecified	0.00	1.50		UNSP	1	Imported Channel 1	UNSP	other		63.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	17	1942-04-11		Yes	HPE	USGS	2.08	121				Unspecified	0.02	1.00		UNSP	1	Imported Channel 1	UNSP	other		121				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	18	1942-05-06		Yes	HPE	USGS	2.31	187				Unspecified	0.12	1.30		UNSP	1	Imported Channel 1	UNSP	other		187				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	19	1942-06-01		Yes	HPE	USGS	3.50	746				Unspecified	-0.01	1.50		UNSP	1	Imported Channel 1	UNSP	other		746				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06298000	20	1942-06-24		Yes	HPE	USGS	3.13	385				Unspecified	-0.02	1.50		UNSP	1	Imported Channel 1	UNSP	other		385				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
