#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:26:27 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06306300 Tongue River at State Line nr Decker MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06306300	37	1963-06-06		Yes	BIR	USGS	8.26	4540				Good	-0.01	1.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		4540				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	38	1963-06-17		Yes	KLT/T.S	USGS	8.38	4770				Good	-0.05	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		4770				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	51	1964-06-18		Yes	KLT	USGS	7.11	3200				Good	0.02	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	other		3200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	91	1967-06-17		Yes	DEG	USGS	8.16	4180				Good	-0.07	1.20	Clear	MEAS	1	Imported Channel 1	UNSP	other		4180				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	92	1967-06-24		Yes	T.S	USGS	7.36	3590				Good	-0.04	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		3590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	103	1968-06-05		Yes	DEG	USGS	8.17	4660				Good	0.02	1.10		MEAS	1	Imported Channel 1	UNSP	other		4660				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	104	1968-06-11		Yes	WJP	USGS	7.78	4180				Good	0.00	1.20		MEAS	1	Imported Channel 1	UNSP	other		4180				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	114	1969-03-20		Yes	NDH	USGS	7.78	3400				Good	-0.25	1.20	IceCover	MEAS	1	Imported Channel 1	UNSP	other		3400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	128	1970-06-09		Yes	JEE	USGS	6.97	3200				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		3200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06306300	184	1974-10-03		Yes	CJF/NDH	USGS	2.94	233				Fair	0.01	0.60	Clear	MEAS	1	Imported Channel 1	UNSP	other		233				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
