#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:26:30 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06307500 Tongue River at Tongue R Dam nr Decker MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06307500	224	1962-06-19		Yes	KLT/T.S	USGS	15.94	3810				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	UNSP	other		3810				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	238	1963-06-18		Yes	T.S/KLT	USGS	16.10	4000				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		4000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	287	1967-06-17		Yes	DEG/SUL	USGS	17.40	5930				Good	-0.03	0.80		MEAS	1	Imported Channel 1	UNSP	other		5930				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	297	1968-06-12		Yes	WJP	USGS	16.02	4130				Good	-0.02	1.00		MEAS	1	Imported Channel 1	UNSP	other		4130				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	370	1974-10-03		Yes	NDH/CJF	USGS	1.80	369				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		369				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	371	1974-11-07		Yes	CJF	USGS	1.41	280				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		280				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	372	1974-12-04		Yes	CJF/MKW	USGS	1.50	313				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		313				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	373	1975-01-08		Yes	CJF/PWM	USGS	0.90	151				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		151				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	374	1975-02-05		Yes	PWM/CJF	USGS	0.90	151				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		151				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	375	1975-04-03		Yes	BMB	USGS	1.88	427				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		427				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	377	1975-06-16		Yes	S.D	USGS	5.52	3530				Fair	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		3530				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	378	1975-06-30		Yes	BMB	USGS	6.14	4120				Fair	0.01	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		4120				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	379	1975-08-05		Yes	BMB	USGS	2.71	948				Fair	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		948				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	380	1975-09-09		Yes	BMB	USGS	11.40	261				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		261				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	381	1975-10-07		Yes	BMB	USGS	11.14	214				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		214				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	382	1975-11-10		Yes	NDH	USGS	9.97	20.8				Fair	-0.08	0.50		MEAS	1	Imported Channel 1	UNSP	other		20.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	383	1975-11-11		Yes	NDH	USGS	10.04	24.0				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		24.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	384	1975-11-25		Yes	NDH	USGS	10.01	20.8				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		20.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	385	1975-12-02		Yes	BMB/L.K	USGS	10.88	189				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		189				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	386	1976-01-07		Yes	BMB/WRT	USGS	11.19	247				Fair	0.00	0.50	IceShore	MEAS	1	Imported Channel 1	UNSP	other		247				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	387	1976-02-03		Yes	BMB	USGS	11.20	236				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		236				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	388	1976-03-02		Yes	BMB	USGS	11.20	234				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		234				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	389	1976-04-06		Yes	BMB	USGS	11.42	319				Fair	0.01	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		319				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	390	1976-05-04		Yes	BMB	USGS	11.98	553				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		553				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	391	1976-06-08		Yes	BMB	USGS	13.74	1510				Fair	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		1510				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	392	1976-07-07		Yes	BMB	USGS	12.58	835				Fair	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		835				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	393	1976-08-03		Yes	BMB	USGS	11.99	497				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		497				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	394	1976-08-31		Yes	BMB	USGS	11.76	332				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		332				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	395	1976-10-13		Yes	BMB	USGS	11.32	224				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		224				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	396	1976-11-09		Yes	BMB	USGS	11.22	222				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		222				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	397	1976-12-07		Yes	BMB	USGS	10.87	133				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		133				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	398	1977-01-11		Yes	BMB	USGS	10.98	169				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		169				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	399	1977-02-08		Yes	BMB	USGS	10.97	166				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		166				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	400	1977-03-08		Yes	BMB	USGS	10.61	100				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	401	1977-04-19		Yes	BMB	USGS	12.05	575				Good	0.00	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	other		575				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	402	1977-05-17		Yes	BMB	USGS	14.59	2340				Fair	0.00	1.10		MEAS	1	Imported Channel 1	UNSP	other		2340				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	403	1977-06-21		Yes	BMB	USGS		3.05				Fair	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		3.05				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	404	1977-07-19		Yes	BMB	USGS	12.07	544				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		544				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	405	1977-08-02		Yes	BMB	USGS	11.92	411				Fair	0.00	0.30		MEAS	1	Imported Channel 1	UNSP	other		411				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	406	1977-09-07		Yes	BMB	USGS	11.74	303				Fair	0.00	0.30		MEAS	1	Imported Channel 1	UNSP	other		303				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	407	1977-10-18		Yes	BMB	USGS	11.18	196				Fair	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		196				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	408	1977-11-02		Yes	BMB	USGS	10.93	147				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		147				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	409	1977-12-20		Yes	BMB	USGS	10.88	151				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	other		151				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	410	1978-01-12		Yes	BMB	USGS	10.88	142				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		142				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	411	1978-02-22		Yes	BMB	USGS	10.86	148				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		148				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	412	1978-03-28		Yes	BMB	USGS	11.22	248				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		248				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	413	1978-04-18		Yes	BMB	USGS	12.00	538				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		538				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	414	1978-05-20		Yes	BMB/RRS	USGS	19.51	9860				Fair				MEAS	1	Imported Channel 1	UNSP	other		9860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	415	1978-06-21		Yes	BMB	USGS	16.12	4140				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		4140				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	416	1978-07-19		Yes	BMB	USGS	12.86	995				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	other		995				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	417	1978-08-10		Yes	BMB	USGS	12.80	848				Fair	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		848				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	418	1978-09-07		Yes	W.W	USGS	11.63	365				Good	0.00	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		365				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307500	419	1978-09-27		Yes	BMB	USGS	11.60	368				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		368				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
