#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:26:31 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06307616 Tongue R at Birney Day School Br nr Birney MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06307616	1A	1975-11-11		Yes	nh	USGS		39.2				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		39.2				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	1B	1977-11-03		Yes	fs	USGS		163				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		163				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	1	1979-10-02		Yes	JLF	USGS		235				Fair				MEAS	1	Imported Channel 1	WADE	unspe	unkno	235	112	160	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	2	1979-10-26		Yes	T.O	USGS	1.49	253				Good	-0.01			MEAS	1	Imported Channel 1	WADE	unspe	unkno	253	109	165	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	3	1979-11-14		Yes	JLF	USGS	1.17	155				Good	-0.03	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	155	108	127	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	4	1979-12-10		Yes	JLF/LAM	USGS	1.29	193				Good	-0.01	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	193	109	140	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	5	1980-01-15		Yes	JLF	USGS	2.45	242				Fair	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	242	111	158	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	6	1980-02-11		Yes	JLF	USGS	2.52	190				Poor	0.01	0.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	190	113	153	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	7	1980-03-17		Yes	JLF	USGS	2.39	204				Fair	0.02	0.80	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	204	115	190	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	8	1980-04-14		Yes	JLF	USGS	1.56	278				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	278	112	171	1.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	9	1980-05-21		Yes	JLF	USGS	1.65	308				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	308	115	190	1.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	10	1980-06-18		Yes	JLF	USGS	3.23	1190				Good	0.00	1.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1190	125	411	2.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	11	1980-07-21		Yes	JLF	USGS	2.01	459				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	459	116	231	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	12	1980-08-13		Yes	JLF/DMF	USGS	1.85	413				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	413	115	208	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	13	1980-09-10		Yes	JDP/JLF	USGS	1.80	366				Fair	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	366	115	206	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	14	1980-10-02		Yes	JLF	USGS	1.62	290				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	290	114	181	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	15	1980-11-05		Yes	JLF	USGS	1.42	227				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	227	109	155	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	16	1980-12-04		Yes	JLF	USGS	2.40	285				Poor			IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	285	114	153	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307616	17	1981-01-07		Yes	JLF	USGS	1.60	157				Fair	-0.01	1.00	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	157	120	138	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
