#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:26:32 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06307830 Tongue R bl Brandenberg bridge nr Ashland MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06307830	1	1978-09-07		Yes	fs	USGS		359				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		359				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	2	1978-10-19		Yes	l	USGS		183				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		183				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	122	1983-09-27		Yes	TIF	USGS	2.81	233				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	233	103	124	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	123	1983-10-25		Yes	TIF	USGS	2.82	227				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	227	103	125	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	124	1983-11-30		Yes	TIF	USGS	3.17	166				Fair	0.00	0.70	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	166	103	99.8	1.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	125	1984-01-11		Yes	TIF	USGS	3.20	245				Fair	0.02	0.40	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	245	99.0	119	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	126	1984-02-22		Yes	TIF	USGS	2.80	227				Good	-0.02	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	227	103	124	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	127	1984-04-05		Yes	TIF	USGS	3.07	318				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	318	103	152	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	128	1984-05-16		Yes	TIF	USGS	4.94	1430				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1430	130	414	3.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	129	1984-06-26		Yes	TIF	USGS	6.43	2930				Good	0.00	1.10	DebrisLight	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2930	137	634	4.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	130	1984-08-15		Yes	TIF	USGS	3.42	423				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	423	119	184	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	131	1984-09-19		Yes	TIF	USGS	3.32	380				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	380	116	169	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	132	1984-10-26		Yes	TIF	USGS	2.91	253				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	253	108	125	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	132A	1985-08-15 08:45:00	MDT	Yes	jlf	USGS	2.72	192				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		192				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	133	1988-08-17 14:40:00	MDT	Yes	JLF/TJM	USGS	2.70	213				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	213	115	184	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	134	2000-06-13 10:56:00	MDT	Yes	JLF/DAM	USGS	5.66	1060				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1060	113	415	2.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	135	2000-06-26 12:25:00	MDT	Yes	DAM	USGS		744				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	744	103	281	2.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	136	2000-07-12 12:45:00	MDT	Yes	AS	USGS	4.04	362				Fair	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	362	85.0	171	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	137	2000-07-19 09:25:00	MDT	Yes	BMB	USGS	4.10	364				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	364	84.0	126	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	138	2000-08-09 12:30:00	MDT	Yes	JLF	USGS	3.99	350				Fair	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	350	82.0	112	3.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	139	2000-10-24 11:47:00	MDT	Yes	DAM	USGS	3.87	297				Good	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	297	92.5	128	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	140	2001-01-11 10:00:00	MST	Yes	BMB	USGS	3.98	187				Good	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	187	135	139	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	141	2001-02-12 11:32:00	MST	Yes	DAM/SMK	USGS	4.00	144				Poor	-0.01	0.40	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	144	60.0	89.0	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	142	2001-03-28 09:45:00	MST	Yes	BMB	USGS	3.34	133				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	133	68.0	86.5	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	143	2001-04-11 09:45:00	MDT	Yes	BMB	USGS	3.33	152				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	152	74.0	95.0	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	144	2001-05-23 10:35:00	MDT	Yes	BMB	USGS	3.58	217				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	217	79.0	79.0	2.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	145	2001-06-05 09:25:00	MDT	Yes	BMB	USGS	4.86	639				Fair	-0.02	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	639	147	287	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	146	2001-07-11 10:15:00	MDT	Yes	BMB	USGS	3.14	121				Fair	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	121	64.0	67.3	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	147	2001-08-20 10:05:00	MDT	Yes	BMB	USGS	3.06	103				Fair	0.00	0.40	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	103	71.0	52.6	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	148	2001-10-02 09:19:00	MDT	Yes	DAM	USGS	3.02	87.9				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	87.9	59.0	55.1	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	149	2001-11-20 11:40:00	MST	Yes	DAM	USGS	3.07	88.5				Good	0.06	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	88.5	67.0	67.4	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	150	2002-01-15 12:25:00	MST	Yes	DAM/PRW	USGS	3.61	97.1				Poor	0.00	0.30	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	97.1	46.0	60.1	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	151	2002-04-23 11:01:00	MDT	Yes	DAM/SMK	USGS	3.05	99.2				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	99.2	68.0	72.1	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	152	2002-06-05 16:30:00	MDT	Yes	DAM	USGS	3.43	183				Fair			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	183			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	153	2002-07-10 14:52:00	MDT	Yes	DAM	USGS	3.60	222				Good	-0.01	0.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	222	81.0	113	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	154	2002-08-13 10:15:00	MDT	Yes	DAM	USGS	3.06	94.5				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	94.5	61.5	58.1	1.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	155	2002-10-01 11:40:00	MDT	Yes	DAM	USGS	3.16	119				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	119	64.0	65.1	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	156	2002-11-21 08:10:00	MST	Yes	JLF	USGS	3.13	106				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	106	72.0	83.7	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	157	2002-12-05 08:15:00	MST	Yes	JLF/SMK	USGS	3.06	19.0				Poor	0.30	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.0	62.0	63.6	0.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	158	2003-02-05 10:45:00	MST	Yes	JLF	USGS	4.02	143				Poor	0.01	0.40	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	143	41.0	60.5	2.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	159	2003-04-23 12:20:00	MDT	Yes	SMK	USGS	3.24	133				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	133	75.0	76.1	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	160	2003-06-06 09:30:00	MDT	Yes	JLF	USGS	7.40	1790				Fair	-0.02	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1790	117	582	3.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	161	2003-08-04 15:40:00	MDT	Yes	JLF/FB	USGS	3.93	355				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	355	83.0	109	3.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	162	2003-10-07 11:10:00	MDT	Yes	SMK	USGS	3.19	134				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	134	73.0	69.6	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	163	2003-11-13 12:05:00	MST	Yes	SMK	USGS	3.36	155				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	155	75.0	74.4	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	164	2003-12-03 10:25:00	MST	Yes	TJM	USGS	3.45	130				Fair	0.01	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	130	62.0	57.9	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	165	2004-01-22 08:45:00	MST	Yes	SMK	USGS	3.91	125				Poor	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	125	51.0	47.6	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	166	2004-03-23 10:50:00	MST	Yes	TJM	USGS	3.42	188				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	188	79.0	91.7	2.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	167	2004-06-08 12:25:00	MDT	Yes	A.W/BMB	USGS	3.30	156				Fair	0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	156	68.0	54.8	2.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	168	2004-07-13 11:25:00	MDT	Yes	BMB/PRW	USGS	3.52	189				Fair	-0.01	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	189	75.0	76.2	2.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	169	2004-08-18 10:35:00	MDT	Yes	A.W/BMB	USGS	3.34	174				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	174	72.0	62.0	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	170	2004-10-12 12:15:00	MDT	Yes	BMB	USGS	3.06	94.7				Fair	0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	94.7	70.0	55.7	1.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	171	2004-11-01 12:15:00	MST	Yes	BMB/SLD	USGS	3.14	110				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	110	65.0	53.2	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	172	2005-02-09 10:25:00	MST	Yes	BMB/PRW	USGS	3.16	61.7				Poor	0.01	0.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	61.7	66.0	58.1	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	173	2005-03-10 11:15:00	MST	Yes	TJM/PRW	USGS	3.00	85.9				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	85.9	67.0	53.2	1.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	174	2005-04-18 12:50:00	MDT	Yes	TJM/PRW	USGS	2.93	80.6				Good	0.02	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	80.6	63.0	42.5	1.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	175	2005-05-16 14:00:00	MDT	Yes	BMB/PRW	USGS	6.37	1130				Good			DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1130	110	428	2.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	176	2005-05-25 09:00:00	MDT	Yes	BMB	USGS	8.78	2250				Good	0.04	1.30	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2250	115	725	3.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307830	177	2005-08-02 12:20:00	MDT	Yes	BMB/AW	USGS	4.17	390				Fair	-0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	390	82.0	130	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
