#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:26:33 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06307990 Tongue R ab T & Y Div Dam nr Miles City, MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06307990	1	2004-10-14 09:00:00	MDT	Yes	JLF	USGS	1.99	90.3				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	90.3	118	93.6	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	2	2005-01-19 12:20:00	MST	Yes	SMK/SLD	USGS	2.70	71.9				Poor	0.06	0.70	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	71.9	86.0	61.9	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	3	2005-03-10 09:00:00	MST	Yes	TJM/PRW	USGS	1.96	89.4				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	89.4	119	94.8	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	4	2005-04-06 13:45:00	MDT	Yes	BMB/PRW	USGS	1.91	73.5				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	73.5	70.0	58.6	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	5	2005-04-18 15:30:00	MDT	Yes	TJM/PRW	USGS	1.89	71.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	71.9	66.0	54.8	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	6	2005-05-18 09:20:00	MDT	Yes	BMB/PRW	USGS	4.36	1130				Good	0.01	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1130	122	376	3.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	7	2005-05-25 12:05:00	MDT	Yes	BMB	USGS	5.73	2010				Good	0.05	1.30	DebrisLight	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2010	124	540	3.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	8	2005-08-02 14:50:00	MDT	Yes	BMB/A.W	USGS	2.80	344				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	344	92.0	152	2.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	9	2005-09-06 14:50:00	MDT	Yes	A.W/TJM	USGS	2.68	286				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	286	90.0	135	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	10	2005-10-04 14:50:00	MDT	Yes	BMB/A.W	USGS	2.60	257				Fair	0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	257	118	139	1.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	11	2005-11-21 12:40:00	MST	Yes	BMB	USGS	2.40	209				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	209	90.0	111	1.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	12	2006-01-09 14:15:00	MST	Yes	BMB/AW	USGS	3.16	210				Fair	0.00	0.80	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	210				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	13	2006-03-14 13:25:00	MST	Yes	BMB	USGS	2.18	125				Fair	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	125	118	87.3	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	14	2006-04-25 13:30:00	MDT	Yes	BMB	USGS	2.09	111				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	111	117	77.0	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	15	2006-06-07 07:35:00	MDT	Yes	BMB	USGS	2.01	82.7				Fair	0.00	0.70	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	82.7	84.0	71.2	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	16	2006-07-11 12:40:00	MDT	Yes	BMB	USGS	2.26	144				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	144	84.0	82.7	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	17	2006-08-29 13:10:00	MDT	Yes	BMB	USGS	2.08	92.6				Good	0.00	0.50	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	92.6	78.0	64.9	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	18	2006-10-10 13:10:00	MDT	Yes	BMB	USGS	1.99	67.3				Fair	0.00	0.70	VegetationLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	67.3	68.0	53.0	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	19	2006-11-29 12:50:00	MST	Yes	BMB	USGS	2.18	43.9				Poor	-0.01	0.70	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	43.9	110	69.0	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	20	2007-01-17 08:15:00	MST	Yes	BMB/AW	USGS	2.90	45.0				Fair	0.00	0.30	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	45.0	113	82.5	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	21	2007-03-15 10:00:00	MDT	Yes	BMB	USGS	2.47	202				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	202	89.0	101	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	22	2007-04-18 11:05:00	MDT	Yes	BMB	USGS	3.24	554				Fair	-0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	554	111	208	2.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	23	2007-05-17 09:05:00	MDT	Yes	BMB	USGS	5.97	2240				Fair	0.00	1.30	DebrisModerate	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2240	125	563	3.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	24	2007-06-07 11:20:00	MDT	Yes	BMB	USGS	10.12	7490				Fair	0.24	1.50	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7490	128	1180	6.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	25	2007-07-18 14:00:00	MDT	Yes	BMB	USGS	2.65	208				Fair	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	208	116	138	1.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	26	2007-08-21 07:50:00	MDT	Yes	BMB	USGS	2.85	297				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	297	118	165	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	27	2007-10-03 11:35:00	MDT	Yes	BMB	USGS	2.57	207				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	207	119	137	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	28	2007-11-20 13:55:00	MST	Yes	BMB	USGS	2.58	211				Fair	0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	211	120	139	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	29	2008-01-07 12:30:00	MST	Yes	SMK	USGS	3.40	146				Poor	0.02	0.70	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	146	102	111	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	30	2008-02-26 13:45:00	MST	Yes	SMK	USGS	3.98	162				Poor	0.01	0.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	162	122	128	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	31	2008-04-01 10:10:00	MDT	Yes	AW	USGS	2.91	377				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	377	120	188	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	32	2008-04-21 15:45:00	MDT	Yes	SMK	USGS	2.96	371				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	371	119	190	1.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	33	2008-06-03 10:53:00	MDT	Yes	TJM/SMK	USGS	6.07	2420				Fair	0.02	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	2420	123	592	4.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	34	2008-07-07 15:50:00	MDT	Yes	SMK	USGS	5.75	2160				Good	-0.03	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2160	125	563	3.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	35	2008-08-11 17:20:00	MDT	Yes	SMK/CCB	USGS	2.78	346				Good	0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VPAA	346	118	203	1.70	FIRM	GRVL	EVEN	unkn	UNSP	UNSP	DNST	100.00
USGS	06307990	36	2008-10-28 10:30:00	MDT	Yes	SMK/AW	USGS	2.24	156				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VPAA	156	118	137	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	37	2008-11-17 15:20:00	MST	Yes	SMK/TJM	USGS	2.86	380				Good			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VPAA	380	120	213	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	38	2009-02-24 15:20:00	MST	Yes	SMK/AW	USGS	4.05	182				Poor			IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	VPYG	182	114	170	1.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	39	2009-04-08 15:15:00	MDT	Yes	SMK	USGS	3.22	541				Fair			Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VPAA	541	116	216	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06307990	40	2009-05-19 16:00:00	MDT	Yes	CCB	USGS	3.64	738				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	738	122	299	2.47	FIRM	GRVL	EVEN	unkn	UNSP	UNSP	DNST	100.00
USGS	06307990	41	2009-06-16 12:25:00	MDT	Yes	CCB/AW	USGS	4.82	1470				Fair	0.00	1.10	Clear	MEAS	1	Imported Channel 1	BRDS	QADCP	VADCP	1470	121	440	3.34	FIRM	BLDR	EVEN	unkn	UNSP	UNSP	DNST	75.00
