#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:26:36 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06308500 Tongue River at Miles City, MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06308500	300	1967-06-19		Yes	NDH	USGS	7.84	5210				Unspecified	0.06	2.00		MEAS	1	Imported Channel 1	UNSP	other		5210				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	318	1968-06-14		Yes	DEG	USGS	7.38	4430				Good	0.01	1.20		MEAS	1	Imported Channel 1	UNSP	other		4430				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	333	1969-03-21		Yes	DEG	USGS	7.95	5720				Poor	0.24	0.80	DebrisHeavy	MEAS	1	Imported Channel 1	UNSP	other		5720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	360	1971-03-02		Yes	K.N	USGS	7.82	4830				Fair	-0.06	0.50		MEAS	1	Imported Channel 1	UNSP	other		4830				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	408	1974-10-24		Yes	PWM/S.D	USGS	1.69	235				Fair	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		235				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	409	1974-11-07		Yes	MEY	USGS	1.71	259				Good	0.01	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		259				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	410	1974-11-21		Yes	MKW/MEY	USGS	1.89	349				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	other		349				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	411	1974-12-18		Yes	MKW/MEY	USGS	2.42	371				Fair	0.09	0.80	IceShore	MEAS	1	Imported Channel 1	UNSP	other		371				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	412	1975-01-21		Yes	MKW/MEY	USGS	3.82	610				Poor	-0.04	0.90	IceCover	MEAS	1	Imported Channel 1	UNSP	other		610				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	413	1975-02-20		Yes	MEY/MKW	USGS	2.86	175				Fair	0.00	0.30	IceCover	MEAS	1	Imported Channel 1	UNSP	other		175				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	414	1975-03-06		Yes	MEY/MKW	USGS	6.89	1850				Fair	-0.07	2.00	IceCover	MEAS	1	Imported Channel 1	UNSP	other		1850				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	415	1975-03-20		Yes	MKW/PWM	USGS	3.45	1150				Fair	-0.02	0.30		MEAS	1	Imported Channel 1	UNSP	other		1150				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	416	1975-04-15		Yes	MKW	USGS	2.67	763				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		763				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	417	1975-05-08		Yes	WJP	USGS	4.80	2200				Good	-0.02	1.10		MEAS	1	Imported Channel 1	UNSP	other		2200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06308500	418	1975-05-11		Yes	MKW	USGS	4.00	1580				Good	0.00	0.90	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		1580				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
