#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:27:15 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10339419 TRUCKEE R AB PROSSER C NR TRUCKEE CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10339419	1	1992-11-03 12:58:00	PST	Yes	DOH	USGS	4.80	68.3	 1.0	0.00	-1.00	POOR	0.00	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		68.3	43.0	62.4	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	2	1992-12-01 12:22:00	PST	Yes	GR	USGS	4.53	29.8	 1.0	0.00	-1.00	POOR	0.00	0.30	CLER	MEAS	1	Unspecified	WADE	QUNSP		29.8	41.0	44.9	0.660	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	3	1993-03-22 13:54:00	PST	Yes	GR	USGS	6.71	818.0	 1.0	0.00	1.00	FAIR	0.02	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		818.0	80.0	292	2.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	4	1993-05-05 13:35:00	PDT	Yes	PH/GR	USGS	6.96	880.0	 1.0	0.00	-9.00	FAIR	-0.01	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		880.0	80.0	311	2.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	5	1993-06-18 15:05:00	PDT	Yes	GR	USGS	6.48	658.0	 1.0	0.00	-3.00	FAIR	0.00	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		658.0	81.0	279	2.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	6	1993-08-31 11:44:00	PDT	Yes	DC/GR	USGS	4.65	45.4	 1.0	0.00	0.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		45.4	44.0	65.9	0.690	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	7	1993-09-28 13:45:00	PDT	Yes	DMC/PH	USGS	5.06	116.0	 1.0	0.00	-5.00	FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		116.0	46.2	82.6	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	8	1993-10-27 12:50:00	PDT	Yes	GR	USGS	4.68	61.0	 1.0	0.070		POOR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		61.0	45.0	53.8	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	9	1993-11-22 09:30:00	PST	Yes	DMC	USGS	4.63	42.8	 1.0	0.00		POOR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		42.8	48.0	61.7	0.690	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	10	1993-12-09 09:00:00	PST	Yes	DMC	USGS	4.89	71.5	 1.0	-0.080		POOR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		71.5	45.0	56.8	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	11	1993-12-15 14:20:00	PST	Yes	DMC	USGS	4.76	60.6	 1.0	-0.010		FAIR	0.00	0.60	LGDB	MEAS	1	Unspecified	WADE	QUNSP		60.6	50.0	62.7	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	12	1994-01-20 13:22:00	PST	Yes	DMC	USGS	4.57	35.9	 1.0	0.010		FAIR	0.02	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		35.9	45.0	54.5	0.660	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	13	1994-03-02 12:30:00	PST	Yes	DMC/RH	USGS	4.96	79.7	 1.0	-0.100		POOR	0.00	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		79.7	49.3	70.9	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	14	1994-03-10 13:30:00	PST	Yes	DMC/GR	USGS	5.21	140.0	 1.0	-0.070		POOR	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		140.0	47.3	85.0	1.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	15	1994-04-29 10:55:00	PDT	Yes	DMC/PH	USGS	5.21	127.0	 1.0	-0.130		POOR	-0.01	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		127.0	46.5	83.0	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	16	1994-05-17 09:15:00	PDT	Yes	DOH	USGS	5.36	178.0	 1.0	-0.080		FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		178.0	50.0	85.0	2.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	17	1994-06-17 12:35:00	PDT	Yes	DMC	USGS	4.75	56.0	 1.0	-0.030		POOR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		56.0	43.0	66.9	0.840	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	18	1994-07-14 13:15:00	PDT	Yes	DMC	USGS	4.84	75.8	 1.0	0.00		FAIR	0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		75.8	42.2	63.9	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	19	1994-09-05 14:00:00	PDT	Yes	DMC	USGS	4.42	15.0	 1.0	-0.040		FAIR	0.00	0.50	ALGA	MEAS	1	Unspecified	WADE	QUNSP		15.0	32.6	40.4	0.370	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	20	1994-10-21 09:45:00	PDT	Yes	DMC	USGS	4.56	30.1	 2.0	0.00	-5.00	FAIR	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		30.1	33.9	45.6	0.660	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	21	1994-11-30 10:30:00	PST	Yes	DMC	USGS	4.63	39.6	 2.0	0.00	-1.00	FAIR	0.00	0.50	SICE	MEAS	1	Unspecified	WADE	QUNSP		39.6	34.2	43.4	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	22	1995-01-05 11:17:00	PST	Yes	DOH/DC	USGS	4.71	55.7	 2.0	0.00	10.0	POOR	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		55.7	42.0	52.1	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	23	1995-01-10 14:15:00	PST	Yes	DOH	USGS	6.97	839.0	 2.0	0.00	-4.00	FAIR	-0.01	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		839.0	81.0	292	2.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	24	1995-02-09 12:25:00	PST	Yes	DOH	USGS	5.64	290.0	 2.0	0.00	8.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		290.0	86.0	172	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	25	1995-03-07 09:00:00	PST	Yes	DOH	USGS	5.68	274.0	 2.0	0.00	-3.00	FAIR	-0.02	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		274.0	84.0	174	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	26	1995-03-10 14:10:00	PST	Yes	DOH	USGS	8.28	2290	 2.0	0.00	8.00	FAIR	0.06	0.90	LGDB	MEAS	1	Unspecified	CWAY	QUNSP		2290	84.0	468	4.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	27	1995-04-05 09:25:00	PDT	Yes	DOH	USGS	6.24	456.0	 2.0	0.00	-7.00	FAIR	0.00	0.60	LGDB	MEAS	1	Unspecified	CWAY	QUNSP		456.0	77.0	265	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	28	1995-05-01 09:35:00	PDT	Yes	DOH	USGS	8.64	2700	 2.0	0.00	0.00	POOR			LGDB	MEAS	1	Unspecified	CWAY	QUNSP		2700	84.0	524	5.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	29	1995-06-05 12:22:00	PDT	Yes	DOH	USGS	7.89	1510	 2.0	0.00	-6.00	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1510	83.0	452	3.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	30	1995-07-11 10:20:00	PDT	Yes	DOH	USGS	6.61	685.0	 2.0	0.00	3.00	FAIR	-0.01	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		685.0	78.0	324	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	31	1995-08-08 12:55:00	PDT	Yes	DOH	USGS	5.46	259.0		0.00		FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		259.0	88.0	161	1.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	32	1995-08-29 11:20:00	PDT	Yes	DMC	USGS	5.74	294.0	 2.0	0.00	-3.00	FAIR	-0.03	0.40	CLER	MEAS	1	Unspecified	WADE	QUNSP		294.0	82.0	154	1.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	33	1995-09-25 10:05:00	PDT	Yes	DOH	USGS	5.23	156.0	 2.0	0.00	2.00	POOR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		156.0	52.0	84.2	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	34	1995-10-19 10:50:00	PDT	Yes	GR	USGS	5.02	101.0	 2.0	0.00	-4.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		101.0	51.0	71.9	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	35	1995-11-13 13:50:00	PST	Yes	DOH	USGS	5.03	109.0	 2.0	0.00	2.00	POOR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		109.0	50.0	75.2	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	36	1995-12-14 13:00:00	PST	Yes	DOH	USGS	5.86	378.0	 3.0	0.00	0.00	FAIR	0.00	0.60	LGDB	MEAS	1	Unspecified	WADE	QUNSP		378.0	89.0	190	1.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	37	1996-01-17 11:50:00	PST	Yes	DOH	USGS	5.77	336.0	 3.0	0.00	-3.00	FAIR	-0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		336.0	89.0	184	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	38	1996-02-15 11:25:00	PST	Yes	DOH	USGS	6.27	528.0	 3.0	0.00	-4.00	FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	CWAY	QUNSP		528.0	78.0	296	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	39	1996-03-14 12:45:00	PST	Yes	DOH	USGS	6.13	475.0	 3.0	0.00	-2.00	FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	CWAY	QUNSP		475.0	77.0	286	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	40	1996-04-18 10:50:00	PDT	Yes	DOH	USGS	7.13	1090	 3.0	0.00	1.00	FAIR	0.01	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1090	79.0	383	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10339419	41	1996-05-15 13:25:00	PDT	Yes	DOH	USGS	8.20	2110	 3.0	0.00	-1.00	FAIR	0.01	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		2110	82.0	474	4.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
