#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:27:19 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10347460 TRUCKEE RV NR MOGUL, NV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10347460	1	1992-10-20 09:50:00	PDT	Yes	DLH/LCV	USGS	4.01	2.69	 1.0	0.030	7.20	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		2.69	16.6	7.87	0.340	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	2	1992-11-13		Yes	DLH/LPE	USGS	4.81	62.1	 1.0	-0.060	0.800	FAIR	-0.02	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		62.1	76.0	75.3	0.640	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	3	1992-12-09 10:30:00	PST	Yes	DLH/LPE	USGS	5.66	288.0	 1.0	0.080	0.00	FAIR	-0.28	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		288.0	101	317	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	4	1993-01-25 12:30:00	PST	Yes	LPE/DLH	USGS	5.86	383.0	 1.0	0.120	-0.500	GOOD	-0.01	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		383.0	94.0	314	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	5	1993-03-10 10:07:00	PST	Yes	DDH/DLH	USGS	6.08	459.0	 1.0	0.060	-0.400	FAIR	0.01	1.60	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		459.0	103	365	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	6	1993-05-07 12:10:00	PDT	Yes	AP	USGS	7.13	1215	 1.0	0.00	2.10	GOOD	-0.01	2.70	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		1215	106	445	2.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	7	1993-05-19 12:33:00	PDT	Yes	AP	USGS	7.75	1880	 1.0	0.00	-2.10	GOOD	-0.13	2.60	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		1880	108	545	3.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	8	1993-07-15 12:46:00	PDT	Yes	AP	USGS	5.91	336.0	 1.0	-0.070	-3.10	GOOD	0.02	1.20	LGDB	MEAS	1	Unspecified	WADE	QUNSP		336.0	112	140	2.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	9	1993-07-15 15:06:00	PDT	Yes	AP	USGS	5.90	314.0	 1.0	-0.070	2.50	GOOD	0.00	1.10	LGDB	MEAS	1	Unspecified	WADE	QUNSP		314.0	112	135	2.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	10	1993-09-08 10:31:00	PDT	Yes	DDH/DLH	USGS	5.68	248.0	 1.0	0.00	-3.50	FAIR	-0.01	0.80	CLER	MEAS	1	Unspecified	UNSP			248.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	11	1993-10-20 11:15:00	PDT	Yes	LPE	USGS	4.98	72.9	 1.0	0.00	-2.30	POOR	-0.03	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		72.9	91.0	118	0.620	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	12	1993-11-17 10:11:00	PST	Yes	LPE	USGS	4.18	8.92	 1.0	0.00	-5.70	GOOD	-0.02	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		8.92	22.0	12.4	0.730	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	13	1994-01-05 11:50:00	PST	Yes	DLH	USGS	5.42	141.0	 1.0	-0.060	-0.700	GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		141.0	89.0	98.2	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	14	1994-02-16 12:07:00	PST	Yes	DLH	USGS	5.18	115.0	 1.0	-0.080	0.00	GOOD	-0.03	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		115.0	10.5	99.1	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	15	1994-04-06 08:10:00	PDT	Yes	DLH	USGS	6.24	544.0	 1.0	0.00	0.400	FAIR	0.00	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		544.0	104	378	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	16	1994-06-01 11:48:00	PDT	Yes	AP	USGS	7.26	1300	 1.0	0.00	-1.50	FAIR	-0.06	2.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1300	106	479	2.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	17	1994-07-14 11:07:00	PDT	Yes	AP	USGS	4.95	76.8	 1.0	-0.050	-0.800	GOOD	0.01	1.60	LGDB	MEAS	1	Unspecified	WADE	QUNSP		76.8	84.0	73.8	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	18	1994-08-26 14:38:00	PDT	Yes	AP	USGS	4.37	13.9	 1.0	-0.010	-0.700	FAIR	0.00	0.90	LGDB	MEAS	1	Unspecified	WADE	QUNSP		13.9	27.0	28.2	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	19	1994-10-13 10:33:00	PDT	Yes	AP	USGS	4.39	20.3	 1.0	-0.040	-0.500	FAIR	0.00	0.70	LGDB	MEAS	1	Unspecified	WADE	QUNSP		20.3	27.5	29.8	0.680	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	20	1994-11-30 10:18:00	PST	Yes	AP	USGS	5.20	108.0	 1.0	-0.140	0.00	GOOD	-0.04	1.30	SICE	MEAS	1	Unspecified	WADE	QUNSP		108.0	90.0	86.1	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	21	1995-01-06 10:14:00	PST	Yes	AP	USGS	5.10	93.8	 1.0	-0.110	-0.400	FAIR	0.00	1.00	SICE	MEAS	1	Unspecified	WADE	QUNSP		93.8	71.0	97.2	0.960	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	22	1995-02-16 09:40:00	PST	Yes	AP	USGS	5.90	312.0	 1.0	-0.170	0.300	GOOD	0.11	0.90	LGDB	MEAS	1	Unspecified	WADE	QUNSP		312.0	110	156	2.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	23	1995-03-27 10:18:00	PST	Yes	AP	USGS	6.63	790.0	 1.0	0.00	3.90	GOOD	0.01	2.00	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		790.0	103	404	1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	24	1995-05-08 10:46:00	PDT	Yes	AP	USGS	7.78	1720	 1.0	0.00	1.80	FAIR	0.06	2.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1720	107	510	3.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	25	1995-06-05 09:00:00	PDT	Yes	DLH/GH	USGS	8.42	2850	 1.0	-0.100	0.00	FAIR	-0.04	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2850	100	615	4.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	26	1995-06-20 11:30:00	PDT	Yes	AP	USGS	7.93	2030	 1.0	-0.100	0.00	FAIR	-0.16	2.00	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		2030	108	542	3.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	27	1995-07-28 11:30:00	PDT	Yes	AP	USGS	7.34	1310	 1.0	0.00	1.60	FAIR	-0.05	2.10	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		1310	105	470	2.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10347460	28	1995-09-11 12:20:00	PDT	Yes	AP	USGS	6.06	432.0	 1.0	0.00	0.00	FAIR	0.00	1.10	CLER	MEAS	1	Unspecified	WADE	QUNSP		432.0	114	183	2.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
