#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:27:27 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10350340 TRUCKEE RV NR TRACY, NV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10350340	1	1997-01-22 12:00:00	PST	Yes	DLH/SLV	USGS	6.46	4620	 1.0	0.00	3.50	UNSP	0.00	0.80		MEAS	1	Unspecified	CRAN	QUNSP		4620	140	1200	3.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	2	1997-02-05 09:45:00	PST	Yes	DLH/SLV	USGS	6.79	4830	 1.0	0.00	-2.20	GOOD	-0.02	1.25		MEAS	1	Unspecified	CRAN	QUNSP		4830	142	1220	3.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	3	1997-03-28 10:25:00	PST	Yes	DLH/SLV	USGS	5.01	2670	 1.0	0.00	2.20	UNSP	0.00	1.20		MEAS	1	Unspecified	UNSP			2670				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	4	1997-06-05 14:14:00	PDT	Yes	JDJ	USGS	4.10	1600	 1.0	0.00	-3.10	GOOD	0.00	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1600	132	785	8.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	5	1997-06-23 14:45:00	PDT	Yes	JDJ	USGS	3.52	1113	 1.0	0.00	-2.50	GOOD	-0.04	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1113	128	688	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	6	1997-07-31 10:25:00	PDT	Yes	JDJ	USGS	2.25	478.0	 1.0	0.300	-0.050	FAIR	0.04	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		478.0	124	522	0.916	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	7	1997-09-15 12:16:00	PDT	Yes	JDJ	USGS	2.23	479.0	 1.0	0.300	2.20	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		479.0	142	316	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	8	1997-10-23 12:45:00	PDT	Yes	JDJ/JJE	USGS	7.18	410.0	 2.0	-0.140	0.00	GOOD	0.02	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		410.0	142	282	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	9	1997-12-05 11:05:00	PST	Yes	JDJ	USGS	7.35	515.0	 2.0	0.00	-4.90	GOOD	0.00	1.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		515.0	127	534	0.964	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	10	1998-01-12 11:19:00	PST	Yes	JDJ	USGS	7.36	537.0	 2.0	0.00	-1.70	FAIR	0.02	1.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		537.0	126	528	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350340	11	1998-02-24 10:27:00	PST	Yes	JDJ	USGS	7.52	579.0	 2.0	0.00	-6.80	FAIR	-0.04	1.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		579.0	126	548	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
