#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:27:29 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10350400 TRUCKEE RV BLW TRACY, NV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10350400	1	1972-05-02		Yes	CJB	USGS	6.15	1000	 1.0	0.00	1.00	GOOD	0.00	1.00	CLER	UNSP	1	Unspecified	WADE	QUNSP		1000	142	345	2.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	2	1972-05-19		Yes	GLP	USGS	6.82	1600	 1.0	0.00	0.00	GOOD	0.04	1.33		UNSP	1	Unspecified	CRAN	QUNSP		1600	135	446	3.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	3	1972-05-26		Yes	GLP	USGS	6.01	861.0	 1.0	0.00	-1.90	GOOD	0.02	1.00	CLER	UNSP	1	Unspecified	CWAY	QUNSP		861.0	124	330	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	4	1972-07-07		Yes	GLP	USGS	4.72	208.0	 1.0	0.00	1.00	GOOD	-0.04	0.58	CLER	UNSP	1	Unspecified	WADE	QUNSP		208.0	121	169	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	5	1972-08-02		Yes	CJB	USGS	4.80	230.0	 1.0	0.00	0.00	GOOD	0.02	0.75	CLER	UNSP	1	Unspecified	WADE	QUNSP		230.0	130	148	1.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	6	1972-09-07		Yes	CJB	USGS	5.17	374.0	 1.0	0.00	-2.10	GOOD	0.01	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		374.0	137	187	2.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	7	1972-09-28		Yes	CJB	USGS	5.35	478.0	 1.0	0.00	2.80	GOOD	-0.01	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		478.0	132	204	2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	8	1972-10-05		Yes	LKN	USGS	5.15	337.0	 1.0	-0.040	-4.80	GOOD	-0.08	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		337.0	136	190	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	9	1972-10-10		Yes	LKN	USGS	5.26	403.0	 1.0	-0.040		GOOD	-0.01	0.58		UNSP	1	Unspecified	WADE	QUNSP		403.0	133	171	2.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	10	1972-11-03		Yes	JLA	USGS	5.31	441.0	 1.0	0.00	-0.900	GOOD	-0.02	0.58		UNSP	1	Unspecified	WADE	QUNSP		441.0	137	217	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	11	1972-12-05		Yes	CVS	USGS	5.29	456.0	 1.0	0.040		GOOD	0.12	0.58		UNSP	1	Unspecified	WADE	QUNSP		456.0	132	187	2.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	12	1972-12-22		Yes	CJB	USGS	6.49	1330	 1.0	0.00	3.90	FAIR	0.00	1.00	CLER	UNSP	1	Unspecified	UNSP			1330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	13	1973-01-05		Yes	GLP	USGS	5.29	434.0	 1.0	0.00		GOOD	0.04	0.58	CLER	UNSP	1	Unspecified	WADE	QUNSP		434.0	136	210	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	14	1973-02-06		Yes	GLP	USGS	5.38	490.0	 1.0	0.020		GOOD	0.00	0.58		UNSP	1	Unspecified	WADE	QUNSP		490.0	142	226	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	15	1973-03-06		Yes	GLP	USGS	5.58	582.0	 1.0	0.00	-1.00	GOOD	0.05	0.67		UNSP	1	Unspecified	WADE	QUNSP		582.0	132	2.48	2.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	16	1973-04-04		Yes	GLP	USGS	5.45	515.0	 1.0	0.00		GOOD	0.00	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		515.0	130	224	2.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	17	1973-04-20		Yes	CVS	USGS	5.72	690.0	 1.0	0.00	2.40	GOOD	-0.08	0.83		UNSP	1	Unspecified	WADE	QUNSP		690.0	138	277	2.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	18	1973-05-04		Yes	GLP	USGS	6.09	948.0	 1.0	0.00	0.600	GOOD	-0.01	0.92		UNSP	1	Unspecified	WADE	QUNSP		948.0	135	320	2.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	19	1973-06-06		Yes	GLP	USGS	5.92	812.0	 1.0	0.00		GOOD	0.00	1.00	CLER	UNSP	1	Unspecified	WADE	QUNSP		812.0	127	275	2.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	20	1973-07-06		Yes	TT	USGS	5.48	561.0	 1.0	0.030	2.80	GOOD	-0.03	0.67	CLER	UNSP	1	Unspecified	WADE	QUNSP		561.0	137	2.39	2.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	21	1973-08-03		Yes	CJB	USGS	5.58	596.0	 1.0	0.030	-3.30	GOOD	-0.06	0.50		UNSP	1	Unspecified	WADE	QUNSP		596.0	135	247	2.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	22	1973-09-06		Yes	CJB	USGS	5.47	554.0	 1.0	0.00	1.80	GOOD			CLER	UNSP	1	Unspecified	WADE	QUNSP		554.0	137	244	2.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	23	1973-10-09		Yes	JLA	USGS	5.60	612.0	 2.0	0.00	-1.30	GOOD	-0.01	0.50		UNSP	1	Unspecified	WADE	QUNSP		612.0	138	252	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	24	1973-11-05		Yes	CJB	USGS	5.25	425.0	 1.0	0.00	0.00	GOOD	0.01	0.50		UNSP	1	Unspecified	WADE	QUNSP		425.0	138	200	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	25	1973-11-13		Yes	CJB	USGS	7.06	1800	 2.0	0.00	0.00	GOOD	-0.03	1.16		UNSP	1	Unspecified	CRAN	QUNSP		1800	135	480	3.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	26	1973-12-04		Yes	CJB	USGS	5.48	556.0	 2.0	0.00	1.30	GOOD	0.00	0.58		UNSP	1	Unspecified	WADE	QUNSP		556.0	136	229	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	27	1974-01-03		Yes	CJB	USGS	5.40	464.0	 2.0	0.00		GOOD	0.00	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		464.0	137	220	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	28	1974-01-31		Yes	CJB	USGS	5.95	842.0	 2.0	0.00	-0.400	GOOD	0.00	0.67		UNSP	1	Unspecified	WADE	QUNSP		842.0	140	307	2.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	29	1974-03-06		Yes	CJB	USGS	6.40	1220	 2.0	0.00	1.70	GOOD	-0.01	0.83		UNSP	1	Unspecified	WADE	QUNSP		1220	147	356	3.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	30	1974-04-03		Yes	CJB	USGS	8.41	3240	 2.0	0.00	0.00	GOOD	0.01	1.58	CLER	UNSP	1	Unspecified	CRAN	QUNSP		3240	138	649	4.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	31	1974-04-08		Yes	CJB	USGS	7.51	2280	 2.0	0.00	1.30	GOOD	0.00	1.33	CLER	UNSP	1	Unspecified	CRAN	QUNSP		2280	137	542	4.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	32	1974-05-01		Yes	CJB	USGS	7.25	2020	 2.0	0.00	1.50	GOOD	0.02	1.33		UNSP	1	Unspecified	WADE	QUNSP		2020	137	500	3.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	33	1974-06-13		Yes	TK	USGS	7.02	1740	 2.0	0.00	-1.10	GOOD	-0.03	1.50	CLER	UNSP	1	Unspecified	CWAY	QUNSP		1740	145	490	3.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	34	1974-07-05		Yes	RRS	USGS	6.06	966.0	 2.0	0.00	4.10	GOOD	0.00	1.08	CLER	UNSP	1	Unspecified	WADE	QUNSP		966.0	144	328	2.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	35	1974-08-05		Yes	GLP	USGS	5.74	738.0	 2.0	0.00	4.50	GOOD	0.00	0.50		UNSP	1	Unspecified	WADE	QUNSP		738.0	139	276	2.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	36	1974-09-03		Yes	CJB	USGS	5.22	406.0	 2.0	0.00	-1.00	GOOD	0.00	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		406.0	136	199	2.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	37	1974-10-02		Yes	CJB	USGS	5.28	454.0	 2.0	0.00	3.20	GOOD	0.00	0.50		UNSP	1	Unspecified	WADE	QUNSP		454.0	137	216	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	38	1974-11-01		Yes	TT	USGS	5.80	767.0	 2.0	0.00	3.00	GOOD	-0.15	0.83		UNSP	1	Unspecified	WADE	QUNSP		767.0	150	301	2.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	39	1974-12-04		Yes	TK	USGS	5.60	636.0	 2.0	0.00	2.60	GOOD	0.03	0.67		UNSP	1	Unspecified	WADE	QUNSP		636.0	135	242	2.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	40	1975-01-01		Yes	TT	USGS	5.60	629.0	 2.0	0.00	1.50	GOOD	0.07	1.00	CLER	UNSP	1	Unspecified	WADE	QUNSP		629.0	140	262	2.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	41	1975-02-04		Yes	RRS	USGS	5.58	624.0	 2.0	0.00	2.60	GOOD	0.01	1.17		UNSP	1	Unspecified	WADE	QUNSP		624.0	142	260	2.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	42	1975-03-11		Yes	TT	USGS	5.63	634.0	 2.0	0.00	-0.600	GOOD	0.00	1.00		UNSP	1	Unspecified	WADE	QUNSP		634.0	140	265	2.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	43	1975-04-17		Yes	CJB	USGS	6.06	931.0	 2.0	0.00	0.300	GOOD	0.00	1.00	CLER	UNSP	1	Unspecified	CRAN	QUNSP		931.0	132	361	2.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	44	1975-05-14		Yes	CJB	USGS	8.58	3500	 2.0	0.00	1.40	GOOD	-0.02	1.42	CLER	UNSP	1	Unspecified	CRAN	QUNSP		3500	144	685	6.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	45	1975-06-19		Yes	LG	USGS	6.81	1590	 2.0	0.00	1.30	GOOD	0.00	1.17		UNSP	1	Unspecified	CRAN	QUNSP		1590	135	462	3.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	46	1975-07-18		Yes	KG	USGS	6.14	1050	 2.0	0.070		GOOD	0.01	0.92	CLER	UNSP	1	Unspecified	WADE	QUNSP		1050	146	373	2.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	47	1975-08-26		Yes	CJB	USGS	5.66	734.0	 2.0	0.120		GOOD	0.00	0.67	CLER	UNSP	1	Unspecified	WADE	QUNSP		734.0	143	277	2.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	48	1975-10-06		Yes	CJB	USGS	5.50	591.0	 2.0	0.050		GOOD	0.00	0.58		UNSP	1	Unspecified	WADE	QUNSP		591.0	142	262	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	49	1975-11-04		Yes	TT	USGS	5.71	696.0	 2.0	0.00	1.50	GOOD	0.00	0.92	CLER	UNSP	1	Unspecified	WADE	QUNSP		696.0	136	281	2.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	50	1975-12-01		Yes	RS	USGS	5.42	514.0	 2.0	0.00	-0.400	GOOD	0.01	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		514.0	141	237	2.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	51	1976-01-02		Yes	TT	USGS	5.28	446.0	 2.0	0.00	1.40	GOOD	0.00	0.83	CLER	UNSP	1	Unspecified	WADE	QUNSP		446.0	128	293	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	52	1976-02-06		Yes	TT	USGS	5.37	490.0	 2.0	0.00	0.400	GOOD	0.00	0.67		UNSP	1	Unspecified	WADE	QUNSP		490.0	124	215	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	53	1976-03-05		Yes	TT	USGS	5.57	623.0	 2.0	0.00	3.50	GOOD	0.00	0.83	CLER	UNSP	1	Unspecified	WADE	QUNSP		623.0	140	265	2.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	54	1976-04-14		Yes	LG	USGS	5.92	843.0	 2.0	0.00	2.30	GOOD	0.00	1.17	CLER	UNSP	1	Unspecified	WADE	QUNSP		843.0	136	361	2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	55	1976-05-07		Yes	RS	USGS	5.89	850.0	 2.0	0.070		GOOD	-0.07	0.75	CLER	UNSP	1	Unspecified	WADE	QUNSP		850.0	145	312	2.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	56	1976-06-08		Yes	TT	USGS	5.34	504.0	 2.0	0.060		GOOD	0.00	1.00		UNSP	1	Unspecified	WADE	QUNSP		504.0	139	228	2.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10350400	57	1976-07-13		Yes	TT	USGS	5.29	409.0	 2.0	0.00		GOOD	0.00	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		409.0	135	229	1.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
