#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:27:36 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10351650 TRUCKEE RV AT WADSWORTH, NV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10351650	1	1965-03-09		Yes	RC	USGS	6.25	643.0	 1.0	0.00	-4.00	GOOD	0.00	0.67		MEAS	1	Unspecified	UNSP			643.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351650	2	1965-03-26		Yes	JLA/JWM	USGS	5.62	418.0	 1.0	0.00	-4.80	UNSP	0.00	0.42		MEAS	1	Unspecified	UNSP			418.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351650	3	1965-04-19		Yes	JWM	USGS	4.47	141.0	 1.0	0.00	0.700	GOOD	0.01	0.42		MEAS	1	Unspecified	UNSP			141.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351650	4	1965-04-30		Yes	CVS/RC	USGS	9.07	2900	 1.0	0.00	0.00	GOOD	0.07	1.42		MEAS	1	Unspecified	UNSP			2900				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351650	5	1965-06-03		Yes	RC	USGS	5.35	369.0	 1.0	0.00	4.80	GOOD	0.01	0.50		MEAS	1	Unspecified	UNSP			369.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351650	6	1965-07-06		Yes	JWM	USGS	3.70	42.7	 1.0	0.00	-0.700	GOOD	0.00	0.42		MEAS	1	Unspecified	UNSP			42.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351650	7	1965-07-28		Yes	PLS	USGS	5.72	50.4	 1.0	-1.94		GOOD	0.00	0.92		MEAS	1	Unspecified	UNSP			50.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351650	8	1965-08-20		Yes	CVS/PLS	USGS	7.07	923.0	 1.0	-0.300		UNSP	0.00	0.67		MEAS	1	Unspecified	UNSP			923.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351650	9	1965-09-08		Yes	CVS	USGS	5.78	57.8	 1.0	-1.92		GOOD	-0.02	0.42		MEAS	1	Unspecified	UNSP			57.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
