#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:27:37 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10351700 TRUCKEE RV NR NIXON, NV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10351700	1	1957-09-26		Yes	DC	USGS	3.07	105.0	 1.0	0.00	9.10	UNSP				MEAS	1	Unspecified	UNSP			105.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351700	2	1957-10-28		Yes	DC	USGS	2.62	37.0	 1.0	0.00		UNSP				MEAS	1	Unspecified	UNSP			37.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351700	3	1957-12-03		Yes	OK	USGS	2.59	32.4	 1.0	0.00	-5.30	UNSP				MEAS	1	Unspecified	UNSP			32.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351700	4	1958-01-06		Yes	OK	USGS	2.59	31.4	 1.0	0.00	-8.20	UNSP				MEAS	1	Unspecified	UNSP			31.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351700	5	1958-02-10		Yes	OK	USGS	2.55	30.8	 1.0	0.00	-0.600	UNSP				MEAS	1	Unspecified	UNSP			30.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351700	6	1958-02-26		Yes	OK	USGS	5.95	1520	 1.0	0.00	2.00	UNSP				MEAS	1	Unspecified	UNSP			1520				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351700	7	1958-03-01		Yes	OK	USGS	3.69	227.0	 1.0	0.00	-6.20	UNSP				MEAS	1	Unspecified	UNSP			227.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351700	8	1958-04-05		Yes	OK	USGS	5.85	1390	 1.0	0.00	-1.40	UNSP	0.00			MEAS	1	Unspecified	UNSP			1390				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10351700	9	1958-04-07		Yes	DC	USGS	6.68	2270	 1.0	0.00	2.30	UNSP				MEAS	1	Unspecified	UNSP			2270				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
