#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:28:03 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11276900 TUOLUMNE R BL EARLY INTAKE NR MATHER CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11276900	1	1963-01-24		Yes	DAH/DAH	USGS	2.24	20.6		0.00		FAIR	0.00	0.80		MEAS	1	Unspecified	WADE	QUNSP		20.6	28.5	23.6	0.870	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	2	1963-05-15		Yes	RAW/RAW	USGS	5.10	1040		0.00		FAIR	0.00	0.80		MEAS	1	Unspecified	CWAY	QUNSP		1040	124	291	3.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	3	1963-08-27		Yes	RAW/RAW	USGS	2.56	46.0		0.00		UNSP	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		46.0	43.0	35.8	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	4	1963-10-09		Yes	RAW/RAW	USGS	2.45	29.6		0.00		POOR	-0.02	0.60		MEAS	1	Unspecified	WADE	QUNSP		29.6	40.5	27.2	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	5	1964-01-07		Yes	RAW/RAW	USGS	2.52	38.0		0.00		POOR	-0.01	0.70		MEAS	1	Unspecified	WADE	QUNSP		38.0	43.0	29.6	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	6	1964-04-08		Yes	RAW/RAW	USGS	2.74	52.5		0.00		POOR	-0.01	0.40		MEAS	1	Unspecified	WADE	QUNSP		52.5	42.5	35.7	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	7	1964-05-14		Yes	RAW/RAW	USGS	2.77	61.4		0.00		FAIR	-0.01	0.70		MEAS	1	Unspecified	WADE	QUNSP		61.4	48.0	39.0	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	8	1964-06-11		Yes	RAW/RAW	USGS	2.49	37.0		0.00		POOR	-0.02	0.40		MEAS	1	Unspecified	WADE	QUNSP		37.0	42.5	29.4	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	9	1964-07-01		Yes	RAW/MAR	USGS	2.39	33.5		0.00		FAIR	-0.01	0.70		MEAS	1	Unspecified	WADE	QUNSP		33.5	40.7	30.2	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11276900	10	1964-08-12		Yes	DAH/DAH	USGS	2.47	41.6		0.00		GOOD	-0.06	0.90		MEAS	1	Unspecified	WADE	QUNSP		41.6	41.0	31.4	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
