#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:28:07 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11289650 TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11289650	1	1970-10-13		Yes	DAH	USGS	1.41	7.64	 2.0	0.00	-3.00	FAIR	0.00	0.70		MEAS	1	Unspecified	UNSP			7.64				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11289650	2	1970-11-09		Yes	DAH	USGS	2.16	57.4	 2.0	0.00	-2.00	FAIR	0.00	1.50		MEAS	1	Unspecified	UNSP			57.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11289650	3	1970-11-10		Yes	DAH	USGS	3.31	226.0	 2.0	0.00	1.00	GOOD	0.00	1.30		MEAS	1	Unspecified	UNSP			226.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11289650	4	1970-11-16		Yes	DAH	USGS	3.16	199.0	 2.0	0.00	2.00	GOOD	0.00	1.10		MEAS	1	Unspecified	UNSP			199.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11289650	5	1970-11-24		Yes	DAH	USGS	3.19	199.0	 2.0	0.00	-1.00	GOOD	0.00	0.92		MEAS	1	Unspecified	UNSP			199.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11289650	6	1970-12-08		Yes	HEN/RAW	USGS	5.33	937.0	 2.0	0.00	9.00	POOR	0.80	1.10		MEAS	1	Unspecified	UNSP			937.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11289650	7	1970-12-15		Yes	RAW/DAH	USGS	5.99	1170	 2.0	0.00	1.00	UNSP	-0.01	1.00		MEAS	1	Unspecified	UNSP			1170				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11289650	8	1970-12-22		Yes	RAW/DAH	USGS	7.64	2060	 2.0	0.00	0.00	UNSP	0.01	1.20		MEAS	1	Unspecified	UNSP			2060				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11289650	9	1971-02-22		Yes	DAH/PAU	USGS	6.81	1600	 2.0	0.00	0.00	GOOD	-0.92	1.30		MEAS	1	Unspecified	UNSP			1600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
