#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:28:22 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03050500 TYGART VALLEY RIVER NEAR ELKINS, WV
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03050500	1	1944-04-12 12:45:00	EDT	Yes	WFS	USGS	8.90	3730				GOOD			CLER	MEAS	1		UNSP	QSCMM		3730	157	1450	2.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	2	1944-05-15 14:15:00	EDT	Yes	LBH	USGS	2.45	237				GOOD			UNSP	MEAS	1		UNSP	QSCMM		237	128	344	0.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	3	1944-06-24 10:45:00	EDT	Yes	WFS	USGS	9.94	4800				GOOD			SUBM	MEAS	1		UNSP	QSCMM		4800	160	1650	2.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	4	1944-07-19 14:05:00	EDT	Yes	WFS	USGS	1.30	17.8				GOOD			CLER	MEAS	1		UNSP	QSCMM		17.8	77.0	95.8	0.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	5	1944-08-25 09:20:00	EDT	Yes	WFS	USGS	1.66	66.5				GOOD			CLER	MEAS	1		UNSP	QSCMM		66.5	87.0	132	0.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	6	1944-09-25 10:30:00	EDT	Yes	WFS	USGS	1.30	12.8				GOOD			LGDB	MEAS	1		UNSP	QSCMM		12.8	59.0	67.2	0.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	7	1944-10-17 09:00:00	EDT	Yes	WFS	USGS	1.70	65.8				GOOD			LGDB	MEAS	1		UNSP	QSCMM		65.8	88.0	135	0.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	8	1944-11-15 10:20:00	EDT	Yes	WFS	USGS	1.92	99.0				GOOD			CLER	MEAS	1		UNSP	QSCMM		99.0	93.0	152	0.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	9	1944-12-21 10:45:00	EDT	Yes	WFS	USGS	2.82	278				GOOD			SICE	MEAS	1		UNSP	QSCMM		278	94.0	241	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	10	1944-12-26 14:00:00	EDT	Yes	WFS	USGS	12.88	7460				GOOD			SUBM	MEAS	1		UNSP	QSCMM		7460	202	2240	3.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	11	1944-12-26 16:10:00	EDT	Yes	WFS	USGS	12.96	7600				GOOD			SUBM	MEAS	1		UNSP	QSCMM		7600	206	2260	3.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	12	1944-12-28 14:20:00	EDT	Yes	WFS	USGS	10.09	4570				GOOD			SUBM	MEAS	1		UNSP	QSCMM		4570	175	1670	2.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	13	1945-01-12 10:10:00	EDT	Yes	WFS	USGS	3.02	303				GOOD			AICE	MEAS	1		UNSP	QSCMM		303	135	296	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	14	1945-02-02 15:05:00	EDT	Yes	WFS	USGS	3.00	224				GOOD			SICE	MEAS	1		UNSP	QSCMM		224	135	280	0.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	15	1945-03-01 08:50:00	EDT	Yes	WFS	USGS	11.57	6230				GOOD			SUBM	MEAS	1		UNSP	QSCMM		6230	165	1910	3.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	16	1945-03-01 12:40:00	EDT	Yes	WFS	USGS	11.83	6390				GOOD			SUBM	MEAS	1		UNSP	QSCMM		6390	165	1930	3.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03050500	17	1945-03-01 15:20:00	EDT	Yes	WFS	USGS	11.74	6240				GOOD			SUBM	MEAS	1		UNSP	QSCMM		6240	154	1640	3.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
