#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:28:55 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09503700 VERDE RIVER NEAR PAULDEN, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09503700	1	1963-08-14		Yes	HWH	USGS	1.81	18.0	 1.0	-0.400	0.600	GOOD	0.00	0.58		MEAS	1	Unspecified	WADE	QUNSP		18.0	17.0	17.4	1.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	2	1963-08-20		Yes	DEN	USGS	3.00	105.0	 1.0	-0.330	0.00	FAIR	-0.04	1.50		MEAS	1	Unspecified	UNSP			105.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	3	1963-09-13		Yes	DEN	USGS	1.67	21.4	 1.0	-0.160	-0.500	GOOD	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		21.4	35.0	37.2	0.570	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	4	1963-10-03		Yes	HIG	USGS	1.54	19.1	 1.0	-0.090	-1.00	GOOD	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		19.1	21.0	17.6	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	5	1963-11-06		Yes	DEN	USGS	1.52	21.2	 1.0	-0.020	0.500	GOOD	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		21.2	30.0	33.1	0.640	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	6	1963-12-13		Yes	HWH	USGS	1.69	23.9	 1.0	-0.120	-0.400	GOOD	0.00	0.58		MEAS	1	Unspecified	WADE	QUNSP		23.9	18.0	13.2	1.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	7	1964-01-23		Yes	HWH	USGS	1.70	21.9	 1.0	-0.180	0.00	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		21.9	24.0	23.6	0.930	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	8	1964-02-25		Yes	RAR	USGS	1.65	18.5	 1.0	-0.220	-0.500	GOOD	0.00	0.58		MEAS	1	Unspecified	WADE	QUNSP		18.5	18.0	13.5	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	9	1964-03-23		Yes	GIL	USGS	1.60	22.3	 1.0	-0.070	0.00	GOOD	0.01	0.42		MEAS	1	Unspecified	WADE	QUNSP		22.3	25.0	31.8	0.700	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	10	1964-04-20		Yes	HWH	USGS	1.64	21.5	 1.0	-0.130	0.00	GOOD	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		21.5	31.0	37.7	0.570	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	11	1964-05-26		Yes	RAR	USGS	1.53	16.4	 1.0	-0.160	0.00	GOOD	0.00	0.67		MEAS	1	Unspecified	WADE	QUNSP		16.4	19.0	16.3	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	12	1964-06-27		Yes	HWH	USGS	1.58	22.0	 1.0	-0.060	0.500	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		22.0	23.0	22.3	0.990	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	13	1964-07-27		Yes	HWH	USGS	1.67	21.4	 1.0	-0.160	-0.500	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		21.4	23.0	22.4	0.960	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	14	1964-08-02		Yes	BRI/HWH	USGS	5.40	1240	 1.0	0.00	-0.400	POOR				MEAS	1	Unspecified	UNSP			1240				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	15	1964-08-04		Yes	HIG	USGS	2.79	117.0	 1.0	0.00	0.00	GOOD	-0.02	0.50		MEAS	1	Unspecified	UNSP			117.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	16	1964-08-18		Yes	HWH	USGS	1.58	24.4	 1.0	0.00	0.00	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		24.4	24.0	20.8	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	17	1964-09-24		Yes	HWH	USGS	1.46	20.8	 1.0	0.030	0.500	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		20.8	23.0	15.3	1.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	18	1964-10-21		Yes	HWH	USGS	1.48	22.7	 1.0	0.060	0.00	GOOD	0.00	0.45		MEAS	1	Unspecified	WADE	QUNSP		22.7	24.5	18.9	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	19	1964-11-23		Yes	HWH	USGS	1.62	19.8	 1.0	-0.160	0.500	GOOD	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		19.8	25.0	20.3	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	20	1964-12-16		Yes	HWH	USGS	1.74	22.5	 1.0	-0.200	-0.900	GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		22.5	33.0	45.0	0.500	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09503700	21	1965-01-22		Yes	HWH	USGS	1.57	23.6	 1.0	-0.010	0.00	GOOD	0.00	0.67		MEAS	1	Unspecified	WADE	QUNSP		23.6	33.0	39.6	0.600	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
