#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:09 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07165750 VERDIGRIS R NR VIRGIL, KS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07165750	1	1989-09-14 11:15:00	CDT	Yes	JRB	USGS	6.13	1400	 1.0			FAIR	0.38	1.20		MEAS	1	Unspecified	CRAN	QUNSP		1400	90.0	590	2.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	2	1989-09-27 14:35:00	CDT	Yes	CAD	USGS	2.72	70.4	 1.0			FAIR	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		70.4	64.0	70.5	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	3	1989-10-13 12:35:00	CDT	Yes	MDC	USGS	2.39	20.3	 1.0			FAIR	0.00	0.75	LGDB	MEAS	1	Unspecified	WADE	QUNSP		20.3	57.0	48.2	0.420	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	4	1989-11-17 11:00:00	CST	Yes	JM	USGS	2.49	35.4	 1.0			FAIR	0.00	0.70	CLER	MEAS	1	Unspecified	WADE	QUNSP		35.4	55.5	52.2	0.680	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	5	1990-01-02 14:55:00	CST	Yes	JM	USGS	2.30	18.3	 1.0			FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		18.3	59.0	39.0	0.470	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	6	1990-02-06 17:05:00	CST	Yes	JRB	USGS	3.16	137.0	 1.0			FAIR	0.01	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		137.0	76.0	87.7	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	7	1990-03-15 11:05:00	CST	Yes	JPM/MDC	USGS	9.44	3290	 1.0			FAIR	0.06	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3290	100	947	3.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	8	1990-03-29 09:40:00	CST	Yes	JPM/JRB	USGS	4.25	499.0	 1.0			FAIR	-0.01	1.40	CLER	MEAS	1	Unspecified	CRAN	QUNSP		499.0	85.0	439	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	9	1990-05-03 13:35:00	CDT	Yes	JM	USGS	2.95	106.0	 1.0			FAIR	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		106.0	66.0	84.3	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	10	1990-06-14 11:35:00	CDT	Yes	JM	USGS	4.27	505.0	 1.0			FAIR	-0.02	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		505.0	82.0	441	1.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	11	1990-07-13 11:45:00	CDT	Yes	JM	USGS	2.25	15.6	 1.0			FAIR	0.00	0.90	CLER	MEAS	1	Unspecified	WADE	QUNSP		15.6	51.3	40.8	0.380	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	12	1990-09-04 10:35:00	CDT	Yes	JPM	USGS	2.09	5.36	 1.0			POOR	0.00	0.75	LGDB	MEAS	1	Unspecified	WADE	QUNSP		5.36	31.1	17.5	0.310	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	13	1990-10-30 15:50:00	CST	Yes	CAD	USGS	2.20	4.34	 2.0			FAIR	0.00	0.30	MDDB	MEAS	1	Unspecified	WADE	QUNSP		4.34	14.0	7.83	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	14	1991-01-14 12:45:00	CST	Yes	JRB	USGS	2.15	3.98	 2.0			FAIR	0.00	0.40	LGDB	MEAS	1	Unspecified	WADE	QUNSP		3.98	14.0	2.81	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	15	1991-02-05 12:25:00	CST	Yes	MDC/CAD	USGS	2.16	8.46	 2.0			GOOD	0.00	0.75	LGDB	MEAS	1	Unspecified	WADE	QUNSP		8.46	26.3	21.2	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	16	1991-04-09 11:30:00	CDT	Yes	CAD/MKL	USGS	2.09	2.77	 2.0			FAIR	0.00	0.33	MDDB	MEAS	1	Unspecified	WADE	QUNSP		2.77	11.4	4.71	0.590	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	17	1991-05-22 12:15:00	CDT	Yes	JRB	USGS	2.48	36.2	 2.0			FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.2	49.0	46.9	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	18	1991-05-24 10:50:00	CDT	Yes	JRB	USGS	6.44	1660	 2.0			FAIR	-0.12	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1660	92.0	637	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	19	1991-07-01 10:40:00	CDT	Yes	JM/MKL	USGS	2.06	4.87	 2.0			FAIR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		4.87	15.0	5.87	0.830	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	20	1991-08-16 13:10:00	CDT	Yes	CAD	USGS	1.86	0.160	 2.0			POOR	0.00	0.17	LGDB	MEAS	1	Unspecified	WADE	QUNSP		0.160	1.00	0.380	0.420	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	21	1991-11-05 13:10:00	CST	Yes	CAD	USGS	1.97	0.560	 3.0			FAIR	0.00	0.25	MDDB	MEAS	1	Unspecified	WADE	QUNSP		0.560	4.20	1.49	0.380	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	22	1992-01-09 13:10:00	CST	Yes	CAD	USGS	2.42	31.1	 3.0			GOOD	0.00	0.83	LGDB	MEAS	1	Unspecified	WADE	QUNSP		31.1	39.0	40.6	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	23	1992-02-12 12:00:00	CST	Yes	MPH	USGS	2.78	86.8	 3.0			GOOD	-0.01	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		86.8	70.5	85.1	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	24	1992-03-27 10:10:00	CST	Yes	MPH	USGS	4.26	555.0	 3.0			GOOD	-0.05	2.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		555.0	87.0	452	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	25	1992-05-05 12:15:00	CDT	Yes	CAD	USGS	2.54	41.7	 3.0			GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		41.7	37.5	44.3	0.940	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	26	1992-06-04 12:25:00	CDT	Yes	JRB/MKL	USGS	4.75	766.0	 3.0			FAIR	-0.07	1.50	CLER	MEAS	1	Unspecified	CRAN	QUNSP		766.0	87.0	486	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	27	1992-07-15 15:30:00	CDT	Yes	MKL	USGS	3.91	373.0	 3.0			GOOD	-0.02	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		373.0	86.0	117	3.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	28	1992-07-23 18:00:00	CDT	Yes	CAD/BMS	USGS	17.72	8200	 3.0			FAIR	0.39	2.30	LGDB	MEAS	1	Unspecified	CRAN	QUNSP		8200	238	2490	3.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	29	1992-09-15 10:05:00	CDT	Yes	CAD	USGS	2.21	14.8	 3.0			FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		14.8	39.2	27.1	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	30	1992-10-14 10:45:00	CDT	Yes	CAD	USGS	2.20	8.87	 3.0			FAIR	0.00	0.50	MDDB	MEAS	1	Unspecified	WADE	QUNSP		8.87	19.8	10.3	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	31	1992-11-24 13:00:00	CST	Yes	JRB	USGS	4.99	839.0	 3.0			GOOD	-0.03	0.83	CLER	MEAS	1	Unspecified	CRAN	QUNSP		839.0	86.0	493	1.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	32	1993-01-14 11:35:00	CST	Yes	CAD	USGS	3.77	187.0				FAIR	0.04	0.67	HVDB	MEAS	1	Unspecified	WADE	QUNSP		187.0	65.0	130	1.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	33	1993-02-12 11:30:00	CST	Yes	CAD	USGS	5.42	933.0	 4.0			FAIR	-0.08	1.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		933.0	89.0	482	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	34	1993-04-27 13:30:00	CDT	Yes	MDC	USGS	3.05	114.0	 4.0			GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		114.0	70.0	79.7	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	35	1993-05-19 10:20:00	CDT	Yes	JRB	USGS	3.96	354.0	 4.0			GOOD	-0.01	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		354.0	75.0	143	2.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	36	1993-07-01 16:40:00	CDT	Yes	JRB	USGS	2.37	25.8	 4.0			FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		25.8	60.0	46.4	0.560	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	37	1993-08-10 11:50:00	CDT	Yes	JRB	USGS	2.61	54.2	 4.0			GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		54.2	47.0	43.2	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	38	1993-09-29 13:45:00	CDT	Yes	JRB	USGS	3.03	116.0	 4.0			GOOD	-0.01	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		116.0	69.0	84.8	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	39	1993-11-15 09:10:00	CST	Yes	DDW	USGS	2.92	99.2	 5.0			GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		99.2	72.0	94.3	1.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	40	1993-12-22 12:15:00	CST	Yes	DDW	USGS	2.48	36.1	 5.0			GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.1	73.0	46.4	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	41	1994-04-14 17:25:00	CDT	Yes	DDW	USGS	4.74	775.0	 5.0			GOOD	-0.03	1.17	CLER	MEAS	1	Unspecified	CRAN	QUNSP		775.0	90.0	495	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	42	1994-06-28 14:40:00	CDT	Yes	DDW	USGS	2.08	5.41	 5.0			FAIR	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		5.41	40.0	21.6	0.250	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	43	1994-08-17 12:15:00	CDT	Yes	DDW/DDL	USGS	1.97	1.01	 5.0			POOR	0.00	0.37	LGDB	MEAS	1	Unspecified	WADE	QUNSP		1.01	8.40	1.23	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	44	1994-10-04 13:50:00	CDT	Yes	DDW	USGS	2.00	0.990	 5.0			FAIR	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		0.990	7.20	1.81	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	45	1994-11-15 11:25:00	CST	Yes	DDW	USGS	2.11	2.02	 5.0			FAIR	0.00	0.42	LGDB	MEAS	1	Unspecified	WADE	QUNSP		2.02	5.40	1.79	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	46	1995-01-12 10:10:00	CST	Yes	DDW	USGS	2.23	16.8	 5.0			GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		16.8	28.5	17.0	0.990	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	47	1995-05-01 13:05:00	CDT	Yes	DDW	USGS	4.10	469.0	 6.0			GOOD	0.07	1.58	CLER	MEAS	1	Unspecified	CRAN	QUNSP		469.0	89.0	425	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	48	1995-06-20 14:45:00	CDT	Yes	DDW/DT	USGS	3.14	161.0	 6.0			GOOD	-0.01	0.84	CLER	MEAS	1	Unspecified	WADE	QUNSP		161.0	61.0	88.3	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	49	1995-09-13 11:35:00	CDT	Yes	DDW	USGS	2.15	7.01	 6.0			FAIR	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		7.01	25.0	9.74	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	50	1995-10-25 10:55:00	CDT	Yes	DDW/CD	USGS	2.23	1.75	 6.0			FAIR	0.00	0.58	MDDB	MEAS	1	Unspecified	WADE	QUNSP		1.75	8.50	3.15	0.560	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	51	1996-01-11 13:25:00	CST	Yes	DDW	USGS	2.10	3.65	 6.0			GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		3.65	9.50	4.70	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	52	1996-03-12 16:55:00	CST	Yes	DDW	USGS	2.03	1.89	 6.0			FAIR	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		1.89	11.5	3.61	0.520	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	53	1996-05-14 13:55:00	CDT	Yes	DDW	USGS	2.65	54.6	 6.0			GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		54.6	41.0	41.9	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	54	1996-06-12 10:40:00	CDT	Yes	DDW/JDA	USGS	2.46	42.5	 6.0			GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		42.5	39.5	31.3	1.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	55	1996-07-30 08:55:00	CDT	Yes	DDW	USGS	2.16	10.1	 6.0			FAIR	0.00	0.92	CLER	MEAS	1	Unspecified	WADE	QUNSP		10.1	18.1	11.1	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	56	1996-09-27 10:40:00	CDT	Yes	DDW	USGS	2.48	40.4	 6.0			GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		40.4	42.5	27.5	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	57	1996-11-06 13:50:00	CST	Yes	DDW	USGS	2.99	112.0	 6.0			GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		112.0	45.5	56.9	1.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	58	1996-12-17 08:00:00	CST	Yes	DDW	USGS	2.80	93.7	 6.0			GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		93.7	39.5	38.5	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	59	1997-04-10 12:15:00	CDT	Yes	DDW	USGS	3.11	147.0	 6.0			GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		147.0	47.0	50.7	2.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	07165750	60	1997-06-13 11:50:00	CDT	Yes	DDW/JDA	USGS	8.92	3340				FAIR	-0.41	1.33	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3340	97.0	888	3.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
