#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:19 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02458148 VILLAGE CREEK AT 86TH ST NORTH AT ROEBUCK, AL.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02458148	1	1998-10-27 13:25:00	CST	Yes	rlf/wah	USGS	1.15	5.22				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.22	14.0	7.32	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458148	2	1999-03-02 10:00:00	CST	Yes	rlf	USGS	1.24	5.02				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.02	13.0	8.97	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458148	3	1999-03-13 18:10:00	CST	Yes	ves/rek	USGS	4.74	277				Fair	0.04	0.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	277	14.5	63.6	4.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458148	4	1999-03-13 19:00:00	CST	Yes	ves/rek	USGS	4.38	242				Fair	-0.37	0.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	242	14.5	56.1	4.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458148	5	1999-03-13 19:45:00	CST	Yes	ves/rek	USGS	3.65	165				Fair	-0.40	0.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	165	14.5	43.8	3.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458148	6	1999-06-09 11:55:00	CDT	Yes	rlf/jc	USGS	1.14	3.19				Good	0.01	0.60	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.19	13.0	9.63	3.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458148	7	1999-08-03 14:40:00	CDT	Yes	rnb/rlf	USGS	1.11	3.12				Good	0.01	0.60	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.12	13.5	9.74	0.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458148	8	1999-09-28 10:55:00	CDT	Yes	WAH	USGS	0.96	1.80				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.80	8.50	3.02	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458148	9	1999-10-06 11:00:00	CDT	Yes	MTS	USGS	0.98	1.70				Good	-0.01	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	1.70	8.40	4.09	0.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
