#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:20 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02458200 VILLAGE CREEK AT APALACHEE ST IN BIRMINGHAM AL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02458200	10	1998-11-04 12:08:00	CST	Yes	VES/RS	USGS	3.76	8.04				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.04	26.0	14.4	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458200	11	1999-01-05 12:45:00	CST	Yes	WAH	USGS	3.88	22.7				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	22.7	33.0	24.1	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458200	12	1999-03-03 07:30:00	CST	Yes	wah	USGS	4.62	107				Good	0.07	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	107	35.0	47.2	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458200	13	1999-03-13 18:10:00	CST	Yes	WAH/RLF	USGS	10.55	1390				Fair	1.25	0.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1390	72.0	507	2.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458200	14	1999-03-13 19:25:00	CST	Yes	RLF/WAH	USGS	10.25	1280				Fair	-1.33	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1280	72.0	486	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458200	15	1999-05-03 17:40:00	CDT	Yes	WAH	USGS	3.83	10.4				Good	0.01	0.60	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	10.4	18.5	11.7	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458200	16	1999-07-09 14:30:00	CDT	Yes	WAH	USGS	3.74	14.8				Good	0.00		DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.8	32.0	19.6	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458200	17	1999-09-08 08:40:00	CDT	Yes	wah	USGS	3.81	8.27				Good	-0.01	0.80	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.27	31.0	21.0	0.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458200	18	1999-11-05 12:30:00	CST	Yes	wah	USGS	3.71	8.85				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.85	31.5	17.6	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
