#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:21 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02458300 VILLAGE CREEK AT 24TH ST. AT BIRMINGHAM, AL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02458300	1	1974-05-30 10:35:00	CDT	Yes	FCS/NAA	USGS	0.52	75.6				Good	0.00	1.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	75.6	50.0	20.0	3.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458300	2	1974-06-13 12:35:00	CDT	Yes	JTA	USGS	0.75	27.9				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	27.9	36.1	38.1	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458300	3	1974-07-11 10:20:00	CDT	Yes	TBM	USGS	0.33	18.9				Good	0.02	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.9	24.0	14.1	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458300	4	1975-03-13 11:15:00	CDT	Yes	NAA/JTA	USGS	2.12	490				Fair	-0.50	0.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	490	61.0	124	3.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458300	5	1975-03-13 12:25:00	CDT	Yes	JTA/NAA	USGS	1.45	224				Fair	-0.19	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	224	46.0	92.6	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458300	6	1975-03-13 19:10:00	CDT	Yes	DDB/PWC	USGS	8.97	3820				Fair	-0.33	0.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3820	64.0	574	6.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458300	7	1975-03-13 21:05:00	CDT	Yes	DDB/PWC	USGS	3.93	1110				Fair	-0.67	0.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1110	64.0	224	4.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458300	8	1976-03-26 14:30:00	CST	Yes	FCS/JWT	USGS	2.58	496				Good	-0.41	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	496	61.0	130	3.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458300	9	1976-06-02 12:15:00	CDT	Yes	NAA	USGS	0.50	36.8				Good	0.00	0.90	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	36.8	47.0	43.6	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
