#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:23 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02458450 VILLAGE CREEK AT AVENUE W AT ENSLEY, AL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02458450	1	1964-06-25		Yes	xx	USGS		23.4				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		23.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458450	2	1964-07-29		Yes	xx	USGS		23.4				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		23.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458450	3	1964-08-04		Yes	xx	USGS		30.0				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		30.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458450	4	1964-09-04		Yes	xx	USGS		23.7				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		23.7				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458450	5	1964-09-17		Yes	xx	USGS		16.5				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		16.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458450	6	1976-01-06 13:00:00	CST	Yes	jcf	USGS	2.27	56.6				Good	0.00	2.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	56.6	73.5	43.6	1.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458450	7	1976-02-10 11:40:00	CST	Yes	fcs	USGS	2.15	43.2				Good	-0.02	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	43.2	33.5	31.6	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458450	8	1976-03-09 14:45:00	CST	Yes	ddb/fcs	USGS	3.60	372				Good	-0.13	0.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	372	55.0	130	2.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458450	9	1976-03-09 15:40:00	CST	Yes	ddb/fcs	USGS	3.32	241				Good	-0.12	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	241	60.0	105	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
