#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:25 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02458600 VILLAGE CREEK NEAR DOCENA, ALABAMA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02458600	1	1996-07-15 17:20:00	CDT	Yes	BFJ	USGS	1.94	292				Good	-0.12	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	292	48.0	222	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458600	2	1996-08-09 17:20:00	CDT	Yes	BFJ	USGS	1.34	116				Fair	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	116	45.0	188	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458600	3	1996-09-06 12:00:00	CDT	Yes	BFJ	USGS	1.23	63.0				Fair	0.00	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	63.0	43.0	187	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458600	4	1996-11-08 14:50:00	CST	Yes	BFJ	USGS	1.62	182				Fair	-0.03	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	182	47.0	205	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458600	5	1997-01-07 11:40:00	CST	Yes	BFJ/RLF	USGS	2.82	513				Fair	-0.32	1.10	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	513	55.0	270	1.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458600	6	1997-02-06 15:25:00	CST	Yes	BFJ/RLF	USGS	1.38	116				Fair	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	116	47.0	119	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458600	7	1997-03-14 15:50:00	CST	Yes	BFJ/RLF	USGS	1.78	240				Good	-0.11	1.10	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	240	53.0	220	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458600	8	1997-04-03 11:05:00	CST	Yes	RLF/MTS	USGS	1.28	90.1				Good	0.00	1.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	90.1	46.0	187	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02458600	9	1997-05-08 11:15:00	CDT	Yes	BFJ/TAP	USGS	1.32	101				Fair	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	101	46.0	187	0.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
