#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:38 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09415000 VIRGIN RV AT LITTLEFIELD, AZ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09415000	626	1965-10-29 11:30:00	PST	Yes	DOT	USGS	2.38	133.0		0.00		GOOD	0.08	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		133.0	51.0	43.0	3.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	627	1965-11-22 12:15:00	PST	Yes	DOT	USGS	2.64	200.0		0.00		GOOD	-0.01	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		200.0	80.0	58.4	3.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	628	1965-11-26 13:25:00	PST	Yes	DOT	USGS	4.07	948.0		0.00		FAIR	-0.06	0.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		948.0	102	148	6.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	629	1965-11-30 12:35:00	PST	Yes	DOT	USGS	2.69	236.0		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		236.0	71.0	66.5	3.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	630	1965-12-11 12:00:00	PST	Yes	DOT	USGS	4.98	1320		0.00		FAIR	-0.04	0.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1320	110	189	6.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	631	1965-12-30 12:20:00	PST	Yes	DOT	USGS	8.53	5300		0.00		POOR	-0.04	0.83	CLER	MEAS	1	Unspecified	CWAY	QUNSP		5300	146	653	8.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	632	1966-01-05 13:40:00	PST	Yes	DOT	USGS	2.69	229.0		0.00		GOOD	-0.02	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		229.0	78.0	63.5	3.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	633	1966-01-31 13:25:00	PST	Yes	DOT	USGS	2.58	227.0		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		227.0	77.0	65.9	3.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	634	1966-02-28 13:00:00	PST	Yes	DOT	USGS	2.55	187.0		0.00		GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		187.0	75.0	55.6	3.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	635	1966-03-30 11:50:00	PST	Yes	DOT	USGS	3.20	345.0		0.00		GOOD	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		345.0	81.0	78.9	4.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	636	1966-04-19 13:45:00	PST	Yes	DOT	USGS	3.23	378.0		0.00		GOOD	0.02	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		378.0	74.0	84.2	4.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	637	1966-04-29 12:10:00	PST	Yes	DOT	USGS	2.52	185.0		0.00		GOOD	0.01	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		185.0	77.0	58.0	3.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	638	1966-05-31 11:30:00	PST	Yes	DOT	USGS	2.07	50.0		0.00		GOOD	0.01	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		50.0	42.0	23.8	2.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	639	1966-06-29 11:20:00	PST	Yes	DOT	USGS	2.06	57.7		0.00		GOOD	0.00	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		57.7	39.0	24.8	2.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	640	1966-07-27 14:10:00	PST	Yes	LKN	USGS	2.04	52.1		0.00		GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		52.1	73.0	35.2	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	641	1966-08-29 15:10:00	PST	Yes	DMC	USGS	2.06	50.8		0.00		GOOD	-0.01	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		50.8	38.0	27.0	1.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	642	1966-09-26 12:45:00	PST	Yes	DOM	USGS	2.08	57.3		0.00		GOOD	0.00	0.58	CLER	UNSP	1	Unspecified	WADE	QUNSP		57.3	38.0	28.2	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	643	1966-10-27 10:45:00	PST	Yes	CVS/JLA	USGS	2.10	71.4		0.00		FAIR	0.00	0.42		MEAS	1	Unspecified	WADE	QUNSP		71.4	48.0	30.5	2.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	644	1966-11-29 13:00:00	PST	Yes	CVS/JLA	USGS	2.37	141.0		0.00		FAIR	-0.02	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		141.0	51.0	46.9	3.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	645	1966-12-06		Yes	RDL/PLS	USGS	15.66	35200		0.00		UNSP				UNSP	1	Unspecified	UNSP			35200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09415000	646	1966-12-13 11:35:00	PST	Yes	EEH	USGS	4.99	346.0		0.00		FAIR	-0.02	0.83		MEAS	1	Unspecified	WADE	QUNSP		346.0	123	109	3.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
