#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:48 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03325000 WABASH RIVER AT WABASH, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03325000	4	1923-12-17		Yes	DOG/DAV	USGS	8.03	4270				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		4270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	6	1924-02-06		Yes	DAV/TYK	USGS	11.60	8950				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		8950				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	7	1924-03-05		Yes	TYK/DAV	USGS	10.90	8970				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		8970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	8	1924-03-26		Yes	TYK/DAV	USGS	14.43	14900				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		14900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	9	1924-03-31		Yes	TYK/DOG	USGS	17.30	18300				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		18300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	10	1924-04-02		Yes	DOG/TYK	USGS	9.54	6870				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		6870				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	17	1925-03-16		Yes	VAW/TYK	USGS	15.25	12600				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		12600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	18	1925-03-26		Yes	VAW/TYK	USGS	11.68	8630				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		8630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	22	1926-04-09		Yes	DAV/QUI	USGS	20.28	24700				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		24700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	26	1930-01-17		Yes	BEC/VAN	USGS	18.19	13600				Unspecified	-0.27	1.50		MEAS	1	Imported Channel 1	UNSP	other		13600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	31	1931-04-04		Yes	WPC	USGS	9.83	6020				Unspecified	-0.01	2.00		MEAS	1	Imported Channel 1	UNSP	other		6020				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	41	1932-12-08		Yes	RLS	USGS	16.39	14300				Unspecified	-0.03			MEAS	1	Imported Channel 1	UNSP	other		14300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	44	1934-04-17		Yes	WEH	USGS	9.18	5330				Unspecified	0.09	2.10		MEAS	1	Imported Channel 1	UNSP	other		5330				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	53	1936-11-04		Yes	PAR/WEH	USGS	12.13	7700				Unspecified	-0.07	1.30		MEAS	1	Imported Channel 1	UNSP	other		7700				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03325000	55	1938-03-18		Yes	MIT/JLI	USGS	15.62	14200				Unspecified	-0.23	1.70		UNSP	1	Imported Channel 1	UNSP	other		14200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
