#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:56 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03341500 WABASH RIVER AT TERRE HAUTE, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03341500	1	1905-05-12		Yes	MSB	USGS	6.90	15800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15800	557	5580	2.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	2	1905-06-25		Yes	MSB	USGS	3.74	7370				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7370	521	3840	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	3	1905-07-29		Yes	MSB	USGS	1.42	2650				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2650	480	2650	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	4	1905-08-25		Yes	MSB	USGS	2.00	3700				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3700	502	2960	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	5	1905-09-11		Yes	MSB	USGS	1.81	3310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3310	495	2770	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	6	1905-10-15		Yes	MSB	USGS	1.00	2070				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2070	455	2520	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	7	1906-02-16		Yes	MSB/ EFK	USGS	4.40	6710				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6710	482	3790	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	8	1906-03-28		Yes	MSB/ EFK	USGS	15.84	40600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	40600	606	10700	3.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	9	1906-03-31		Yes	MSB/ EFK	USGS	19.20	62800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	62800	714	13000	4.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	10	1906-04-18		Yes	MSB/ EFK	USGS	12.02	25500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	25500	580	8520	2.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	11	1906-04-19		Yes	MSB/ EFK	USGS	10.80	22200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	22200	564	7740	2.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	13	1906-04-20		Yes	MSB/ EFK	USGS	8.92	18200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	18200	557	6650	2.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	15	1906-04-21		Yes	MSB/ EFK	USGS	7.65	16200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	16200	549	5950	2.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	16	1906-04-23		Yes	EFK	USGS	6.35	13200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	13200	541	5190	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	17	1906-06-09		Yes	EFK	USGS	4.98	11400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	11400	535	4500	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	18	1925-03-13		Yes	REH	USGS	5.90	13200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	13200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	19	1926-03-26		Yes	REH	USGS	11.20	29000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	29000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	20	1926-04-16		Yes	REH	USGS	16.90	50100				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	50100		14600	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03341500	21	1927-03-25		Yes	REH	USGS	20.60	76500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	76500		15400	4.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
