#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:58 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03342000 WABASH RIVER AT RIVERTON, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03342000	1	1939-11-08		Yes	JLI	USGS	1.26	1950				Fair				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1950	466	1930	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	2	1940-02-22		Yes	YMW	USGS	4.39	6720				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6720	506	3750	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	3	1940-03-05		Yes	IAH	USGS	11.45	20200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	20200	557	7180	2.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	6	1940-03-06		Yes	IAH	USGS	12.99	24500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	24500	574	8260	2.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	5	1940-03-06		Yes	IAH	USGS	12.81	23800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	23800	572	8110	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	7	1940-03-07		Yes	IAH	USGS	13.61	24500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	24500	577	8520	2.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	8	1940-03-08		Yes	IAH	USGS	13.83	25400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	25400	580	8630	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	10	1940-03-09		Yes	IAH	USGS	13.42	23900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	23900	564	8280	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	9	1940-03-09		Yes	IAH	USGS	13.80	24500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	24500	575	8590	2.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	11	1940-03-10		Yes	IAH	USGS	12.03	20400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	20400	575	7590	2.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	12	1940-03-10		Yes	IAH	USGS	11.04	17800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17800	557	7230	2.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	14	1940-03-11		Yes	IAH	USGS	8.73	13600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	13600	544	5850	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	15	1940-03-12		Yes	IAH	USGS	7.40	11100				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	11100	539	5070	2.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	16	1940-04-27		Yes	JLI	USGS	9.83	15900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	15900	560	5760	2.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	17	1940-05-24		Yes	JLI	USGS	4.79	6790				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6790	525	2940	2.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	18	1940-07-10		Yes	JIP/RCK	USGS	1.77	2630				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2630	518	1560	1.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	19	1940-08-13		Yes	RCK	USGS	0.56	1370				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1370	498	962	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	20	1940-09-29		Yes	IAH	USGS	0.22	1050				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1050	420	801	1.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	21	1940-10-29		Yes	JLI	USGS	1.74	2920				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2920	515	1530	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	22	1940-12-28		Yes	RCK	USGS	2.04	3190				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3190	520	1630	1.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	23	1941-01-14		Yes	SWW	USGS	2.04	3310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3310	524	1630	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	24	1941-02-14		Yes	JCM/SWW	USGS	2.34	3450				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3450	521	1730	1.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	25	1941-03-31		Yes	SWW	USGS	1.44	2400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2400	511	1380	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	26	1941-05-20		Yes	SWW	USGS	2.30	3690				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3690	524	1830	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	27	1941-06-06		Yes	SWW	USGS	4.08	6020				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6020	533	2780	2.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	28	1941-06-11		Yes	RCK	USGS	5.62	10500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10500	549	4280	2.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	29	1941-06-14		Yes	RCK	USGS	9.10	14600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	14600	542	5260	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	30	1941-06-17		Yes	SWW	USGS	9.81	16000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	16000	562	5860	2.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	31	1941-07-23		Yes	RCK	USGS	1.00	1960				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1960	516	1100	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	32	1941-08-13		Yes	RCK	USGS	0.37	1250				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1250	475	829	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	33	1941-09-24		Yes	SWW	USGS	0.08	912				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	912	468	669	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	34	1941-10-16		Yes	SWW	USGS	1.67	2770				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2770	520	1490	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	35	1941-11-08		Yes	SWW	USGS	7.35	11600				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	11600	543	4440	2.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	36	1941-12-17		Yes	SWW	USGS	2.01	2940				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2940	520	1610	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	37	1942-01-14		Yes	SWW	USGS	3.26	3450				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3450	523	2150	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	38	1942-02-12		Yes	WIT/HOM	USGS	18.35	41800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	41800	740	12100	3.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	39	1942-02-20		Yes	HEC/HOM	USGS	16.18	30400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	30400	720	9920	3.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	40	1942-03-13		Yes	WIT/HOM	USGS	17.09	35500				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	35500	695	15400	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	41	1942-06-11		Yes	HEC/HOM	USGS	4.99	6930				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6930	550	3500	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	42	1942-06-25		Yes	AHOM	USGS	5.51	7740				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7740	535	3620	2.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	43	1942-07-23		Yes	YMW	USGS	4.21	5810				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5810	530	2910	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	44	1942-08-20		Yes	JCM	USGS	2.92	4180				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4180	524	2290	1.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	45	1942-08-26		Yes	HEC/HOM	USGS	2.43	3490				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3490	522	2040	1.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	46	1942-10-09		Yes	SAW/JDM	USGS	2.92	4170				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4170	527	2270	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	47	1942-11-13		Yes	JDM	USGS	8.15	13000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	13000	555	4970	2.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	48	1942-12-07		Yes	HAM	USGS	3.35	4750				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4750	525	2340	2.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	49	1943-01-06		Yes	AH	USGS	16.35	31800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	31800	700	10000	3.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	50	1943-03-11		Yes	JDM	USGS	4.27	6280				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6280	532	2900	2.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	52	1943-03-20		Yes	IAH/JCM	USGS	5.62	7980				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	7980	535	3500	2.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	51	1943-03-25		Yes	RIG/JCM	USGS	16.81	33100				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	33100	665	10100	3.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	53	1943-05-16		Yes	RIG/JCM	USGS	20.24	59900				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	59900	740	12700	3.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	54	1943-05-20		Yes	PAR/IAH	USGS	28.47	486000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	486000	743	19500	4.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	55	1943-05-21		Yes	PAR/IAH	USGS	29.36	202000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	202000	742	20800	4.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	56	1943-05-24		Yes	PAR/IAH	USGS	26.19	142000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	142000	735	18500	3.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	58	1943-05-25		Yes	PAR/IAH	USGS	24.98	126000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	126000	733	18000	3.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	59	1943-05-26		Yes	PAR/IAH	USGS	23.88	109000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	109000	740	168000	3.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	60	1943-05-27		Yes	PAR/IAH	USGS	22.72	92700				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	92700	734	158000	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03342000	61	1943-05-28		Yes	PAR/IAH	USGS	21.63	76000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	76000	731	14900	3.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
