#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:29:59 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03343000 WABASH RIVER AT VINCENNES, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03343000	694	1978-03-29 09:45:00	EST	Yes	ph	USGS	25.15	74000				Good			Unspecifed	UNSP	1	Imported Channel 1	BRDS	QSCMM	VPAA	74000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343000	736	1984-10-24		Yes	DDB/WAS	USGS	7.49	9300				Good	-0.04	1.10	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	9300	605	3530	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343000	737	1985-01-09		Yes	DDB/MEB	USGS	17.35	37000				Good	-0.03	2.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	37000	628	10200	3.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343000	738	1985-02-27		Yes	DDB/WAS	USGS	25.36	66900				Good	0.21	2.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	66900	877	17100	3.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343000	739	1985-03-04		Yes	DDB/WAS	USGS	27.76	89300				Good	-0.08	3.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	89300	870	19200	4.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343000	740	1985-03-29		Yes	BLB/DDB	USGS	11.60	19100				Good	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	19100	615	5930	3.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343000	741	1985-06-18		Yes	LEH/DDB	USGS	7.39	9070				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	9070	602	3380	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343000	742	1985-09-17		Yes	DDB/CED	USGS	4.75	3430				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	3430	580	1860	1.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343000	743	1985-12-10		Yes	RLM/DDB	USGS	16.82	33700				Good	-0.05	2.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	33700	590	9650	3.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
