#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:30:00 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03343010 WABASH RIVER AT MEMORIAL BRIDGE AT VINCENNES, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03343010	1	2009-06-15 18:11:00	EST	Yes	PRB/BAR	USGS	11.87	23100				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	23100	599	7680	3.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UPST	400.00
USGS	03343010	2	2009-08-25 08:45:00	EST	Yes	PRB/BAR	USGS	5.30	6960				Good	-0.01	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	6960	597	3640	1.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UPST	250.00
USGS	03343010	3	2009-10-06 16:43:00	EST	Yes	htn/cdm	USGS	3.06	3130				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	3130	590	2340	1.34	FIRM	SAND	EVEN	unkn	UNSP	UNSP	UPST	300.00
USGS	03343010	4	2010-02-25 08:25:00	EST	Yes	JHP/EGD	USGS	9.53	16500				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	16500	601	6120	2.70	FIRM	silt	EVEN	unkn	EVEN	UNSP	UPST	250.00
USGS	03343010	5	2010-04-19 10:41:00	EST	Yes	htn/jhp	USGS	6.86	10300				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	10300	606	4560	2.26	FIRM	GRVL	EVEN	unkn	EVEN	UNSP	UPST	350.00
USGS	03343010	6	2010-06-02 15:45:00	EST	Yes	htn/jhp	USGS	10.03	17800				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	17800	607	6560	2.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343010	7	2010-06-30 11:18:00	EST	Yes	htn/msh	USGS	20.17	53800				Fair	0.00	0.40	Clear	MEAS	1	Imported Channel 1	BRDS	QADCP	VADCP	56000	825	14700	3.81	FIRM	SAND	EVEN	unkn	UNEV	UNSP	ATGA	
USGS	03343010	8	2010-10-19 16:01:00	EST	Yes	BAR/JHP	USGS	3.00	2680				Poor	0.00	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	2680	541	2400	1.12	UNSP	UNSP	UNSP	unkn	EVEN	UNSP	UPST	600.00
USGS	03343010	9	2010-12-07 11:31:00	EST	Yes	htn/prb	USGS	5.28	7040				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	MBOT	QADCP	VADCP	7040	570	3770	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03343010	10	2011-02-07 18:06:00	EST	Yes	htn/prb	USGS	3.62	3880				Fair	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3880	587	2550	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
