#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:30:06 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03379500 LITTLE WABASH RIVER BELOW CLAY CITY, IL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03379500	37	1929-04-12		Yes	??G/??H	USGS	21.32	6080		0.00		UNSP	-0.04	1.50		MEAS	1	Unspecified	CRAN	QUNSP		6080	2340	4580	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03379500	50	1932-01-19		Yes	LCC	USGS	20.31	6440		0.00		UNSP	-0.05	4.20		MEAS	1	Unspecified	CRAN	QUNSP		6440	2370	6510	0.990	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03379500	130	1943-05-20		Yes	??F/??B	USGS	25.45	37800		0.00		GOOD	-0.30	5.12		MEAS	1	Unspecified	CRAN	QUNSP		37800	2160	16100	2.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03379500	131	1943-05-21		Yes	??F/??B	USGS	23.89	27500		0.00		FAIR	-0.46	5.92		MEAS	1	Unspecified	CRAN	QUNSP		27500	2160	13100	1.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03379500	132	1943-05-22		Yes	??F/??B	USGS	21.92	13600		0.00		FAIR	-0.30	3.92		MEAS	1	Unspecified	CRAN	QUNSP		13600	2140	9260	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03379500	133	1943-05-23		Yes	??F/??B	USGS	20.65	8600		0.00		FAIR	-0.09	1.83		MEAS	1	Unspecified	CRAN	QUNSP		8600	2360	7750	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03379500	134	1943-05-24		Yes	??F/??B	USGS	19.90	6310		0.00		GOOD	-0.03	1.00		MEAS	1	Unspecified	CRAN	QUNSP		6310	2100	5530	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03379500	135	1943-05-25		Yes	??F/??B	USGS	20.05	7230		0.00		GOOD	0.10	1.42		MEAS	1	Unspecified	CRAN	QUNSP		7230	2150	6100	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	03379500	136	1943-05-26		Yes	??H/??B	USGS	21.36	12900		0.00		GOOD	0.25	3.83		MEAS	1	Unspecified	CRAN	QUNSP		12900	2250	9100	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
