#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:30:49 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07316500 Washita River near Cheyenne, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07316500	752	1980-11-19		Yes	LDM	USGS	4.35	0.63				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	0.63	5.50	0.89	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07316500	753	1980-12-17		Yes	LDM	USGS	4.59	3.72				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.72	15.0	5.29	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07316500	754	1981-01-21		Yes	TEC	USGS	4.61	4.01				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.01	15.0	4.61	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07316500	755	1981-03-04		Yes	LDM	USGS	4.74	8.09				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.09	19.0	8.10	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07316500	756	1981-04-15		Yes	LDM	USGS	4.86	8.15				Good	0.01	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.15	21.0	13.1	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07316500	757	1981-05-13		Yes	LDM	USGS	4.73	2.48				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.48	16.0	7.92	0.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07316500	758	1981-06-30		Yes	LDM	USGS	5.26	11.8				Good	-0.04	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.8	20.0	15.7	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07316500	759	1981-11-03		Yes	DLB	USGS	5.20	5.43				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.43	14.0	6.53	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07316500	760	1981-12-15		Yes	LDM	USGS	5.24	4.94				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	4.94	14.0	7.12	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
