#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:31:06 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07328100 Washita River at Alex, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07328100	873	1978-08-16		Yes	WHO	USGS	3.25	146				Good	0.02	0.40		MEAS	1	Imported Channel 1	UNSP	other		146				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	874	1978-09-19		Yes	WHO	USGS	2.44	40.0				Good	0.01	0.70		MEAS	1	Imported Channel 1	UNSP	other		40.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	875	1978-10-17		Yes	WHO	USGS	2.76	56.1				Good	0.00	0.60		MEAS	1	Imported Channel 1	UNSP	other		56.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	876	1978-11-17		Yes	WHO	USGS	3.50	126				Good	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		126				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	877	1978-12-20		Yes	WHO	USGS	3.20	155				Good	0.00	1.20		MEAS	1	Imported Channel 1	UNSP	other		155				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	878	1979-03-21		Yes	RDG	USGS	3.54	163				Fair	0.00	0.40		MEAS	1	Imported Channel 1	UNSP	other		163				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	879	1979-04-19		Yes	RDG	USGS	4.53	310				Fair	-0.07	1.00		MEAS	1	Imported Channel 1	UNSP	other		310				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	880	1979-06-09		Yes	RDG	USGS	16.98	9410				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		9410				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	881	1979-06-10		Yes	RDG	USGS	14.52	6010				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		6010				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	882	1979-07-26		Yes	LAG/MJ	USGS	3.79	204				Good	0.00	0.40		MEAS	1	Imported Channel 1	UNSP	other		204				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328100	883	1979-08-15		Yes	LAG	USGS	3.64	177				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	other		177				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
