#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:31:07 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07328500 Washita River near Pauls Valley, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07328500	388	1959-09-28		Yes	DLH	USGS	10.41	3240				Good	0.02	1.10		MEAS	1	Imported Channel 1	UNSP	other		3240				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	389	1959-10-06		Yes	DLH	USGS	13.12	6910				Good	0.04	1.30		MEAS	1	Imported Channel 1	UNSP	other		6910				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	390	1959-10-28		Yes	DLH	USGS	7.78	527				Good	0.00	1.30		MEAS	1	Imported Channel 1	UNSP	other		527				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	391	1959-11-17		Yes	DLH	USGS	7.91	468				Good	0.01	1.00		MEAS	1	Imported Channel 1	UNSP	other		468				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	392	1959-12-07		Yes	DLH	USGS	7.69	373				Good	0.00	1.30		MEAS	1	Imported Channel 1	UNSP	other		373				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	393	1960-01-07		Yes	DLH	USGS	8.28	828				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		828				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	394	1960-02-02		Yes	DLH	USGS	8.23	833				Good	0.00	0.90		MEAS	1	Imported Channel 1	UNSP	other		833				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	395	1960-03-03		Yes	DLH/LDM	USGS	8.46	918				Good	0.02	1.40		MEAS	1	Imported Channel 1	UNSP	other		918				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	396	1960-03-31		Yes	CCR	USGS	8.21	674				Good	0.02	0.70		MEAS	1	Imported Channel 1	UNSP	other		674				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	397	1960-04-21		Yes	CCR	USGS	7.88	561				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		561				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	398	1960-05-12		Yes	DLH	USGS	7.89	605				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		605				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	399	1960-05-20		Yes	WJM	USGS	17.19	16200				Good	-0.22	1.20		MEAS	1	Imported Channel 1	UNSP	other		16200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	400	1960-06-03		Yes	CCR	USGS	7.68	558				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		558				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	401	1960-07-07		Yes	DLH	USGS	8.06	671				Good	-0.02	1.00		MEAS	1	Imported Channel 1	UNSP	other		671				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	402	1960-07-27		Yes	DLH	USGS	8.87	1340				Good	0.00	1.20		MEAS	1	Imported Channel 1	UNSP	other		1340				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	403	1960-08-26		Yes	DLH	USGS	7.20	230				Excellent	0.00	0.90		MEAS	1	Imported Channel 1	UNSP	other		230				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	404	1960-09-15		Yes	DLH	USGS	6.50	106				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		106				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	405	1960-10-06		Yes	DLH	USGS	6.76	158				Good	0.00	0.90		MEAS	1	Imported Channel 1	UNSP	other		158				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	406	1960-10-21		Yes	DLH	USGS	10.42	3060				Good	0.05	1.30		MEAS	1	Imported Channel 1	UNSP	other		3060				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	407	1960-10-24		Yes	DLH	USGS	9.46	1720				Good	-0.05	1.30		MEAS	1	Imported Channel 1	UNSP	other		1720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	408	1960-12-02		Yes	LDM	USGS	7.23	365				Good	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		365				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	409	1960-12-21		Yes	LDM	USGS	7.48	412				Good	0.00	0.90		MEAS	1	Imported Channel 1	UNSP	other		412				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	410	1961-01-12		Yes	LDM	USGS	7.43	481				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		481				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	411	1961-02-01		Yes	LDM	USGS	7.39	396				Good	0.00	0.70		MEAS	1	Imported Channel 1	UNSP	other		396				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	412	1961-03-01		Yes	LDM	USGS	7.36	338				Good	-0.02	1.70		MEAS	1	Imported Channel 1	UNSP	other		338				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	413	1961-03-23		Yes	LDM	USGS	7.53	309				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		309				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	414	1961-03-30		Yes	LDM	USGS	10.43	3330				Good	0.18	0.80		MEAS	1	Imported Channel 1	UNSP	other		3330				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	415	1961-04-16		Yes	LDM	USGS	7.79	614				Good	-0.01	0.90		MEAS	1	Imported Channel 1	UNSP	other		614				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	416	1961-04-26		Yes	LDM	USGS	6.98	284				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		284				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	417	1961-05-17		Yes	LDM	USGS	9.10	1880				Good	-0.20	1.30		UNSP	1	Imported Channel 1	UNSP	other		1880				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07328500	418	1961-06-06		Yes	LDM	USGS	7.69	507				Good	-0.04	1.40		MEAS	1	Imported Channel 1	UNSP	other		507				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
