#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:31:28 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 10129500 WEBER RIVER NEAR WANSHIP, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	10129500	110	1988-10-13 11:40:00	MDT	Yes	WJT/MDR	USGS	2.26	198.0	 1.0	-0.040	0.00	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		198.0	75.0	122	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	111	1988-11-22 09:40:00	MST	Yes	WJT	USGS	2.18	183.5	 1.0	0.00	3.40	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		183.5	72.0	11.0	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	112	1988-12-16 10:45:00	MST	Yes	WJT	USGS	1.66	27.3	 1.0	0.00		GOOD	0.00	1.00	SICE	MEAS	1	Unspecified	WADE	QUNSP		27.3	56.0	69.4	0.390	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	113	1989-02-16 09:40:00	MST	Yes	WJT	USGS	1.67	29.1	 1.0	0.00		FAIR	0.00	1.00	SICE	MEAS	1	Unspecified	WADE	QUNSP		29.1	58.0	67.3	0.430	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	114	1989-03-30 09:40:00	MST	Yes	WJT	USGS	1.71	33.1	 1.0	0.00	-3.80	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		33.1	64.0	67.9	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	115	1989-04-06 13:00:00	MDT	Yes	WJT	USGS	2.00	104.0	 1.0	0.00	0.970	GOOD	0.02	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		104.0	70.0	97.0	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	116	1989-05-05 13:05:00	MDT	Yes	WJT	USGS	2.01	95.0	 1.0	-0.030	-1.50	FAIR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		95.0	67.0	99.4	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	117	1989-06-07 08:35:00	MDT	Yes	WJT	USGS	1.99	91.7	 1.0	-0.030	1.80	FAIR	0.01	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		91.7	70.0	140	0.660	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	118	1989-07-11 11:25:00	MDT	Yes	MDR	USGS	2.24	191.0	 1.0	-0.030	-1.00	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		191.0	72.0	119	1.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	119	1989-08-24 08:40:00	MDT	Yes	WJT	USGS	2.50	356.0	 1.0	-0.030	-1.10	GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	CWAY	QUNSP		356.0	79.0	129	2.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	120	1989-10-03 10:30:00	MDT	Yes	WJT	USGS	1.97	109.7	 2.0	0.00		POOR	0.00	0.80	CLER	MEAS	1	Unspecified	WADE	QUNSP		109.7	73.0	99.0	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	121	1989-10-31 09:00:00	MST	Yes	RBG/WJT	USGS	1.96	76.5	 2.0	-0.020	0.100	FAIR	0.00	0.67	ALGA	MEAS	1	Unspecified	WADE	QUNSP		76.5	45.5	33.7	2.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	122	1989-12-06 14:10:00	MST	Yes	RBG	USGS	2.01	98.0	 2.0	0.00	2.40	FAIR	0.00	0.82	ALGA	MEAS	1	Unspecified	WADE	QUNSP		98.0	44.0	41.3	2.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	123	1990-02-08 15:50:00	MST	Yes	RBG	USGS	2.03	102.0	 2.0	0.00	0.00	FAIR	0.00	0.75	ALGA	MEAS	1	Unspecified	WADE	QUNSP		102.0	48.5	40.3	2.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	124	1990-03-16 11:10:00	MST	Yes	WJT/JAY	USGS	2.04	113.0	 2.0	0.020	1.80	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		113.0	70.0	94.6	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	125	1990-04-18 10:35:00	MDT	Yes	RBG	USGS	2.13	130.0	 2.0	0.00	-3.70	GOOD	0.00	0.83	ALGA	MEAS	1	Unspecified	WADE	QUNSP		130.0	73.0	96.4	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	126	1990-05-22 10:35:00	MDT	Yes	RBG	USGS	2.30	204.0	 2.0	0.00	-0.500	GOOD	0.00	0.67	ALGA	MEAS	1	Unspecified	WADE	QUNSP		204.0	74.0	114	1.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	127	1990-06-22 10:20:00	MDT	Yes	RBG	USGS	2.29	194.0	 2.0	0.00	-3.50	GOOD	0.00	0.75	ALGA	MEAS	1	Unspecified	WADE	QUNSP		194.0	74.0	113	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	128	1990-07-06 11:05:00	MDT	Yes	RBG	USGS	2.86	568.0	 2.0	0.00	-0.700	GOOD	0.00	1.08	ALGA	MEAS	1	Unspecified	CWAY	QUNSP		568.0	83.0	163	3.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	129	1990-07-24 10:35:00	MDT	Yes	RBG	USGS	2.56	327.0	 2.0	-0.030	-0.900	FAIR	0.00	1.33	ALGA	MEAS	1	Unspecified	CWAY	QUNSP		327.0	82.0	134	2.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	130	1990-08-29 16:10:00	MDT	Yes	RBG	USGS	2.23	189.0	 2.0	0.020	3.30	FAIR	0.00	0.83	ALGA	MEAS	1	Unspecified	WADE	QUNSP		189.0	61.0	53.7	3.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	131	1990-10-16 17:50:00	MDT	Yes	RBG	USGS	2.21	168.0	 2.0	0.010	-1.20	FAIR	0.00	0.83	ALGA	MEAS	1	Unspecified	WADE	QUNSP		168.0	61.0	53.0	3.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	132	1990-11-13 12:45:00	MST	Yes	RBG/DMB	USGS	2.17	156.0	 2.0	0.010	1.30	FAIR	0.00	0.83	ALGA	MEAS	1	Unspecified	WADE	QUNSP		156.0	50.0	51.1	3.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	10129500	133	1990-11-30 12:15:00	MST	Yes	RBG	USGS	1.69	26.2	 2.0	-0.010	0.800	FAIR	0.00	1.00	ALGA	MEAS	1	Unspecified	WADE	QUNSP		26.2	31.0	20.3	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
