#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:32:16 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03353000 WHITE RIVER AT INDIANAPOLIS, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03353000	1	1925-07-24		Yes	DAV/VAW	USGS		755				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	755	110	1230	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03353000	2	1925-08-29		Yes	DAV/VAW	USGS		270				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	270	100	1060	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03353000	3	1925-11-23		Yes	DAV/QUI	USGS		2600				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2600	185	1920	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03353000	4	1926-02-03		Yes	VAW/QUI	USGS		2300				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2300	180	1930	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03353000	5	1930-07-26		Yes	VAW/QUI	USGS		259				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	259				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03353000	6	1930-08-02		Yes	VAW/QUI	USGS		210				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	210				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03353000	7	1930-08-27		Yes	VAW/QUI	USGS		259				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	259				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03353000	8	1930-11-13		Yes	VAW/QUI	USGS		84.8				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	84.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03353000	9	1930-11-13 12:00:00	EST	Yes	VAW/QUI	USGS		65.6				Unspecified			Unspecifed	MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	65.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
