#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:32:21 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03357000 WHITE RIVER AT SPENCER, IN
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	03357000	10	1926-04-12		Yes	vaw/qui	USGS	17.75	25900				Unspecified	0.00	1.80		MEAS	1	Imported Channel 1	UNSP	other		25900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	13	1927-03-21		Yes	vaw/hel	USGS	20.53	35200				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		35200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	35	1933-05-17		Yes	mit/van	USGS	21.50	40600				Unspecified	-0.13	2.00		UNSP	1	Imported Channel 1	UNSP	other		40600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	53	1939-04-18		Yes	jli	USGS	20.14	32900				Unspecified	0.07	2.00		UNSP	1	Imported Channel 1	UNSP	other		32900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	114	1943-05-20		Yes	saw	USGS	22.91	56900				Good	-0.09	3.80		UNSP	1	Imported Channel 1	UNSP	other		56900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	115	1943-05-21		Yes	saw	USGS	22.01	47500				Good	-0.19	3.20		MEAS	1	Imported Channel 1	UNSP	other		47500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	116	1943-05-22		Yes	saw	USGS	20.89	38300				Good	-0.11	1.50		MEAS	1	Imported Channel 1	UNSP	other		38300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	117	1943-05-23		Yes	hai/set	USGS	18.31	24000				Good	-0.20	1.80		MEAS	1	Imported Channel 1	UNSP	other		24000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	135	1944-12-12		Yes	rei	USGS	1.54	339				Good	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		339				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	140	1945-05-19		Yes	ben/rei	USGS	14.75	12600				Good	-0.02	1.80		UNSP	1	Imported Channel 1	UNSP	other		12600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	148	1946-03-19		Yes	rei	USGS	15.16	13900				Good	0.09	1.70		MEAS	1	Imported Channel 1	UNSP	other		13900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	161	1947-04-29		Yes	rei	USGS	13.35	10500				Good	-0.16	1.90		MEAS	1	Imported Channel 1	UNSP	other		10500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	163	1947-06-04		Yes	hom/kin	USGS	17.47	19400				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		19400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	164	1947-06-06		Yes	hom/kin	USGS	14.71	13500				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		13500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	169	1948-01-06		Yes	car/rei	USGS	13.86	11300				Good				MEAS	1	Imported Channel 1	UNSP	other		11300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	171	1948-03-29		Yes	bux	USGS	19.72	29500				Good				MEAS	1	Imported Channel 1	UNSP	other		29500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	180	1948-12-30		Yes	min	USGS	13.71	11300				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		11300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	181	1949-01-10		Yes	car	USGS	15.53	13800				Good				UNSP	1	Imported Channel 1	UNSP	other		13800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	03357000	185	1949-05-25		Yes	car	USGS	6.22	3520				Good	-0.06	1.20		UNSP	1	Imported Channel 1	UNSP	other		3520				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
